OPERATION_\FACILITY_	PLANET_EARTH_PLAYER_USA	PLANET_EARTH_PLAYER_RUSSIA	PLANET_EARTH_PLAYER_CHINA	PLANET_EARTH_PLAYER_EU	PLANET_EARTH_PLAYER_INDIA	PLANET_EARTH_PLAYER_JAPAN	PLANET_EARTH_PLAYER_OTHER	PLANET_EARTH_PLAYER_NASA	PLANET_EARTH_PLAYER_ROSCOSMOS	PLANET_EARTH_PLAYER_CNSA	PLANET_EARTH_PLAYER_ESA	PLANET_EARTH_PLAYER_ISRO	PLANET_EARTH_PLAYER_JAXA	SPACECRAFT_ISS_PLAYER_NASA	SPACECRAFT_ISS_PLAYER_ROSCOSMOS	SPACECRAFT_ISS_PLAYER_ESA	SPACECRAFT_ISS_PLAYER_JAXA	SPACECRAFT_TIANGONG_PLAYER_CNSA
FISCHER_TROPSCH_PROCESS																		
SABATIER_PROCESS																		
STEAM_REFORMING																		
DRY_REFORMING																		
WATER_GAS_SHIFT_REACTION																		
REVERSE_WATER_GAS_SHIFT_REACTION																		
HABER_BOSCH_PROCESS																		
ETHANOL_PRODUCTION_FERMENTATION																		
FOODSTUFFS_PRODUCTION_FERMENTATION																		
FERTILIZER_PRODUCTION_FERMENTATION																		
SEWAGE_TREATMENT_FERMENTATION																		
BASIC_OXYGEN_STEELMAKING_COMBUSTION																		
H2_REDUCTION_STEELMAKING_COMBUSTION																		
ELECTRIC_STEELMAKING																		
COMBUSTION_INDUSTRIAL_METALS_REFINING																		
ELECTRIC_INDUSTRIAL_METALS_REFINING																		
COMBUSTION_PRECIOUS_METALS_REFINING																		
ELECTRIC_PRECIOUS_METALS_REFINING																		
COMBUSTION_RARE_EARTHS_REFINING																		
ELECTRIC_RARE_EARTHS_REFINING																		
COMBUSTION_GLASS_MAKING																		
ELECTRIC_GLASS_MAKING																		
COMBUSTION_CEMENT_MAKING																		
ELECTRIC_CEMENT_MAKING																		
SOLAR_STEELMAKING																		
SOLAR_INDUSTRIAL_METALS_REFINING																		
SOLAR_PRECIOUS_METALS_REFINING																		
SOLAR_RARE_EARTHS_REFINING																		
SOLAR_GLASS_MAKING																		
SOLAR_CEMENT_MAKING																		
FISSILE_FUELS_ENRICHMENT																		
DEUTERIUM_SEPARATION																		
HELIUM3_SEPARATION																		
INDUSTRIAL_RECYCLING																		
SHIP_STATION_BUILDING																		
CHIP_FABRICATION																		
PLASTICS_POLYMERS_SYNTHESIS																		
SYNTHETIC_FIBERS_FABRICATION																		
BATTERIES_FABRICATION																		
ROBOTICS_FABRICATION																		
HEAVY_MACHINERY_FABRICATION																		
CONSUMER_GOODS_FABRICATION																		
LUXURY_GOODS_FABRICATION																		
INDUSTRIAL_CHEMICALS_PRODUCTION																		
FINE_CHEMICALS_PRODUCTION																		
CHEMICAL_FERTILIZER_PRODUCTION																		
PHARMACEUTICALS_PRODUCTION																		
BIOLOGICAL_CREW														2	2	1	1	2
URBAN_DEVELOPED	13410.309	4242.6293	46890.3698	20545.018	56859.27765	5909.7844	129613.5654	1.8	17	17	0.22	1.6	0.16					
INDUST_FOOD_FARMING																		
INDUST_FIBERS_FARMING																		
INDUST_WOOD_FARMING																		
INDUST_FEEDSTOCK_FARMING																		
SMALL_FOOD_FARMING	3.09e6	1.43e6	1.34e7	5.01e6	1.18e7	1.28e6	3.24e7											
SMALL_FIBERS_FARMING																		
SMALL_WOOD_FARMING																		
CRAFT_FOOD_FARMING																		
CRAFT_FIBERS_FARMING																		
CRAFT_WOOD_FARMING																		
HANDCRAFTING																		
PARKLAND_BIOPROCESSES																		
WOOD_HARVESTING_MANAGED_FOREST																		
WOOD_HARVESTING_WILDERNESS																		
BULK_FOODS_OCEAN_FISHING																		
CRAFT_FOODS_OCEAN_FISHING																		
SERVER_TIME																		
PORT_SERVICES																		
EXCHANGE_SERVICES																		
WHOLESALERS																		
RETAIL																		
REGIONAL_ENTERTAINMENT																		
RESTAURANTS_HOSPITALITY																		
OUTDOOR_RECREATION																		
SPORTS_GAMING																		
MUSIC_TELEVISION_MOVIES																		
RESEARCH_DEVELOPMENT																		
EDUCATIONAL_SERVICES																		
HEALTH_SERVICES																		
LEGAL_SERVICES																		
ACCOUNTING_SERVICES																		
@ENUM_X_ENUM																		
@DATA_TYPE=FLOAT																		
@DATA_DEFAULT=0																		
@TRANSPOSE																		
# game start -> Operations.capacities																		
# transposed on import to:																		
# table[facility_type][operation_type]																		
