id,en
OP_GROUP_ANTARCTIC_CONT_DEEP_SUBSURFACE,Antarctic Deep Subsurf
OP_GROUP_ANTARCTIC_CONT_EXTREME_SUBSURFACE,Antarctic Extr Subsurf
OP_GROUP_ANTARCTIC_CONT_ULTRA_SUBSURFACE,Antarctic Ultra Subsurf
OP_GROUP_ANTARCTIC_CONT_LOWER_CRUST,Antarctic Cont L Crust
OP_GROUP_NORTH_POLAR_CAP,North Polar Cap
OP_GROUP_SOUTH_POLAR_CAP,South Polar Cap
OP_GROUP_POLAR_SHADED_REGOLITH,Polar Shaded Regolith
OP_GROUP_REGOLITH,Regolith
OP_GROUP_NEAR_SURFACE,Near-Surface
OP_GROUP_SUBSURFACE,Subsurface
OP_GROUP_CRUST,Crust
OP_GROUP_DEEP_CRUST,Deep Crust
OP_GROUP_OCEAN,Ocean
OP_GROUP_OCEAN_FLOOR,Ocean Floor
OP_GROUP_OCEAN_CRUST,Ocean Crust
OP_GROUP_CRUST_TERRAE,Crust (Terrae)
OP_GROUP_CRUST_MARIA,Crust (Maria)
OP_GROUP_MANTLE,Mantle
OP_GROUP_CORE,Core
OP_GROUP_BULK,Bulk
OP_GROUP_OIL_REFINING,Oil Refining
OP_GROUP_IRON_STEELMAKING,Iron & Steelmaking
OP_GROUP_METALS_REFINING,Metals Refining
OP_GROUP_BULK_PROCESSING,Bulk Processing
OP_GROUP_PURIFICATION,Purification
OP_GROUP_RECYC_INCINERATION,Rycycling/Incineration
OP_GROUP_NUCLEAR_FUEL_REPROCESSING,Nuclear Fuel Reprocessing
OP_GROUP_ELECTROLYSIS,Electrolysis
OP_GROUP_CATALYTIC_CONVERSION,Catalytic Conversion
OP_GROUP_GASIFICATION_PYROLYSIS,Gassification/Pyrolysis
OP_GROUP_SYNTH_PRODUCTION,Synthesis/Production
OP_GROUP_YARDS_TRANSPORT_MANUF,Yards/Transport Manuf
OP_GROUP_STRUCTURES_MAT_MANUF,Structures & Mat Manuf
OP_GROUP_POWER_SYSTEMS_MANUF,Power Systems Manuf
OP_GROUP_MACHINE_EQUIP_MANUF,Machine & Equip Manuf
OP_GROUP_ADVANCED_FAB,Advanced Fabrication
OP_GROUP_GOODS_MANUF,Goods Manufacturing
OP_GROUP_HABITAT_OPS,Habitat Operations
OP_GROUP_AGRICULTURE,Agriculture
OP_GROUP_AQUACULTURE,Aquaculture
OP_GROUP_CELLULAR_AGRICULTURE,Cellular Agriculture
OP_GROUP_BIOME_HARVEST,Biome Harvest
OP_GROUP_ARTISANRY,Artisanry
OP_GROUP_FOOD_PROCESSING_PACKAGING,Food Proc & Packaging
OP_GROUP_PHARMACEUTICALS_SYNTH,Pharmaceuticals Synth
OP_GROUP_SOIL_CONDITIONING,Soil Conditioning
OP_GROUP_BIOMASS_LIQUEFACTION,Biomass Liquefaction
OP_GROUP_BIOPROCESSING_TREATMENT,Bioprocessing & Treatment
OPERATION_SOLAR_POWER,Solar Power
OPERATION_GEOTHERMAL_POWER,Geothermal Power
OPERATION_HYDROPOWER,Hydropower
OPERATION_WIND_POWER,Wind Power
OPERATION_TIDAL_POWER,Tidal Power
OPERATION_OIL_POWER,Oil Power
OPERATION_COAL_POWER,Coal Power
OPERATION_REFINED_FUELS_POWER,Refined Fuels Power
OPERATION_METHANE_POWER,Methane Power
OPERATION_HYDROGEN_POWER,Hydrogen Power
OPERATION_LEU_FISSION_POWER,LEU Fission Power
OPERATION_HEU_FISSION_POWER,HEU Fission Power
OPERATION_DT_FUSION_POWER,D-D Fusion Power
OPERATION_DHe3_FUSION_POWER,D-He3 Fusion Power
OPERATION_THORIUM_FISSION_POWER,Thorium Fission Power
OPERATION_D_T_FUSION_POWER,D-T Fussion Power
OPERATION_D_3HE_FUSION_POWER,D-³He Fusion Power
OPERATION_3HE_3HE_FUSION_POWER,³He-³He Fusion Power
OPERATION_RADIOISOTOPE_POWER,Radioisotope Power
OPERATION_OIL_REFINING,Oil Refining
OPERATION_IRON_NICKEL_REFINING,Iron-Nickel Refining
OPERATION_IRON_ORE_SMELTING,Iron Ore Smelting
OPERATION_BASIC_O2_STEELMAKING,Basic O₂ Steelmaking
OPERATION_H2_REDUCTION_STEELMAKING,H₂ Reduction Steelmaking
OPERATION_ELECTRIC_STEELMAKING,Electric Steelmaking
OPERATION_SOLAR_STEELMAKING,Solar Steelmaking
OPERATION_ALUMINIUM_REFINING,Aluminium Refining
OPERATION_INDUST_METALS_REFINING,Industrial Metals Refining
OPERATION_PRECIOUS_METALS_REFINING,Precious Metals Refining
OPERATION_RARE_EARTHS_REFINING,Rare Earths Refining
OPERATION_URANIUM_REFINING,Uranium Refining
OPERATION_REGOLITH_PROCESSING,Regolith Processing
OPERATION_DEUTERIUM_PURIFICATION,Deuterium Purification
OPERATION_MUNICIPAL_RECYC_INCINERATION,Municipal Recycling & Incineration
OPERATION_INDUST_RECYC_INCINERATION,Industrial Recycling & Incineration
OPERATION_URANIUM_FUEL_REPROCESSING,Uranium Fuel Reprocessing
OPERATION_THORIUM_FUEL_REPROCESSING,Thorium Fuel Reprocessing
OPERATION_WATER_ELECTROLYSIS,Water Electrolysis
OPERATION_CO2_ELECTROLYSIS,CO₂ Electrolysis
OPERATION_CO2_METHANATION,CO₂ Methanation
OPERATION_STEAM_METHANE_REFORMING,Steam Methane Reforming
OPERATION_WATER_GAS_SHIFT,Water-Gas Shift
OPERATION_REVERSE_WATER_GAS_SHIFT,Reverse Water-Gas Shift
OPERATION_CO2_METHANOL_SYNTH,CO₂ Methanol Synthesis
OPERATION_CO_METHANOL_SYNTH,CO Methanol Synthesis
OPERATION_LIQ_HYDROCARBONS_SYNTH,Liquid Hydrocarbons Synthesis
OPERATION_AMMONIA_SYNTH,Ammonia Synthesis
OPERATION_COAL_GASIFICATION,Coal Gasification
OPERATION_BIOMASS_GASIFICATION,Biomass Gasification
OPERATION_METHANE_PYROLYSIS,Methane Pyrolysis
OPERATION_COAL_CARBONIZATION,Coal Carbonization
OPERATION_BIOMASS_CARBONIZATION,Biomass Carbonization
OPERATION_POLYMER_SYNTH,Polymer Synthesis
OPERATION_INDUST_CHEMICALS_SYNTH,Industrial Chemicals Synthesis
OPERATION_FINE_CHEMICALS_SYNTH,Fine Chemicals Synthesis
OPERATION_CONCRETE_PRODUCTION,Concrete Production
OPERATION_GLASS_CERAMICS_PRODUCTION,Glass/Ceramics Production
OPERATION_SEMICONDUCTOR_PRODUCTION,Semiconductor Production
OPERATION_COMPOSITE_PRODUCTION,Composite Production
OPERATION_SOLID_FUEL_PRODUCTION,Solid Fuel Production
OPERATION_FERTILIZER_PRODUCTION,Fertilizer Production
OPERATION_CONSTRUCTION,Construction
OPERATION_SPACE_YARDS_ASSEMBLY,Space Yards & Assembly
OPERATION_TRANSPORT_MANUF,Transport Manufacturing
OPERATION_STEEL_STRUCTURES_MANUF,Steel Structures Manuf
OPERATION_ALUMINIUM_STRUCTURES_MANUF,Aluminium Structures Manuf
OPERATION_COMPOSITE_STRUCTURES_MANUF,Composite Structures Manuf
OPERATION_TECHNICAL_TEXTILES_FAB,Technical Textiles Fabrication
OPERATION_SOLAR_PANEL_MANUF,Solar Panel Manufacturing
OPERATION_BATTERY_MANUF,Battery Manufacturing
OPERATION_LEU_FUEL_MANUF,LEU Fuel Manufacturing
OPERATION_HEU_FUEL_MANUF,HEU Fuel Manufacturing
OPERATION_THORIUM_FUEL_MANUF,Thorium Fuel Manufacturing
OPERATION_HEAVY_MACHINERY_MANUF,Heavy Machinery Manuf
OPERATION_ELECTRICAL_EQUIP_MANUF,Electrical Equipment Manuf
OPERATION_PRECISION_EQUIP_MANUF,Precision Equipment Manuf
OPERATION_ELECTRONICS_MANUF,Electronics Manufacturing
OPERATION_ROBOTICS_MANUF,Robotics Manufacturing
OPERATION_TENSOR_PROCESSOR_FAB,Tensor Processor Fab
OPERATION_NEUROMORPHIC_PROCESSOR_FAB,Neuromorphic Processor Fab
OPERATION_CONSUMER_GOODS_MANUF,Consumer Goods Manuf
OPERATION_SPECIALTY_GOODS_MANUF,Specialty Goods Manuf
OPERATION_CREW_LIFE_SUPPORT,Crew Life Support
OPERATION_URBAN_OPERATIONS,Urban Operations
OPERATION_OPEN_AGRICULTURE,Open Agriculture
OPERATION_CONTROLLED_ENV_AGRICULTURE,Controlled-Env Agriculture
OPERATION_OPEN_AQUACULTURE,Open Aquaculture
OPERATION_CONTROLLED_ENV_AQUACULTURE,Controlled-Env Aquaculture
OPERATION_ALGACULTURE,Algaculture
OPERATION_CELLULAR_AGRICULTURE,Cellular Agriculture
OPERATION_COMMERCIAL_FISHING,Commercial Fishing
OPERATION_OPEN_FORESTRY,Open Forestry
OPERATION_ARTISANAL_FARMING,Artisanal Farming
OPERATION_ARTISANAL_CRAFTING,Artisanal Crafting
OPERATION_FOOD_PROCESSING_PACKAGING,Food Processing & Packaging
OPERATION_PHARMACEUTICALS_SYNTH,Pharmaceuticals Synthesis
OPERATION_SOIL_CONDITIONING,Soil Conditioning
OPERATION_BIOMASS_LIQUEFACTION,Biomass Liquefaction
OPERATION_ETHANOL_FERMENTATION,Ethanol Fermentation
OPERATION_INDUST_FERMENTATION,Industrial Fermentation
OPERATION_BIOGAS_PRODUCTION,Biogas Production
OPERATION_BIOWASTE_TREATMENT,Biowaste Treatment
PLAYER_USA,USA
PLAYER_USA_LONG,United States of America
PLAYER_RUSSIA,Russia
PLAYER_RUSSIA_LONG,Russian Federation
PLAYER_CHINA,China
PLAYER_CHINA_LONG,People's Republic of China
PLAYER_EU,EU+
PLAYER_EU_LONG,European Union Plus
PLAYER_INDIA,India
PLAYER_INDIA_LONG,Republic of India
PLAYER_JAPAN,Japan
PLAYER_JAPAN_LONG,Japan
PLAYER_OTHER,Other
PLAYER_OTHER_LONG,Other
PLAYER_NASA,NASA
PLAYER_NASA_LONG,National Aeronautics and Space Administration
PLAYER_ROSCOSMOS,Roscosmos
PLAYER_ROSCOSMOS_LONG,Roscosmos State Corporation for Space Activities
PLAYER_CNSA,CNSA
PLAYER_CNSA_LONG,China National Space Administration
PLAYER_ESA,ESA
PLAYER_ESA_LONG,European Space Agency
PLAYER_ISRO,ISRO
PLAYER_ISRO_LONG,Indian Space Research Organisation
PLAYER_JAXA,JAXA
PLAYER_JAXA_LONG,Japan Aerospace Exploration Agency
POLITY_USA,USA
POLITY_USA_LONG,United States of America
POLITY_RUSSIA,Russia
POLITY_RUSSIA_LONG,Russian Federation
POLITY_CHINA,China
POLITY_CHINA_LONG,People's Republic of China
POLITY_EU,EU
POLITY_EU_LONG,European Union
POLITY_INDIA,India
POLITY_INDIA_LONG,Republic of India
POLITY_JAPAN,Japan
POLITY_JAPAN_LONG,Japan
POLITY_OTHER,Other
POLITY_OTHER_LONG,Other
POPULATION_BASE_HUMAN,Base Human
POPULATION_PRE_SENTIENT_ANDROID,Android (pre-sentient)
PROXY_OFF_EARTH,Off-Earth
PROXY_SYSTEM_STAR_SUN,Sun (Solar System)
RESOURCE_ELECTRICITY,Electricity
RESOURCE_HYDROGEN,Hydrogen
RESOURCE_METHANE,Methane
RESOURCE_METHANOL,Methanol
RESOURCE_ETHANOL,Ethanol
RESOURCE_LIQ_HYDROCARBONS,Liq Hydrocarbons
RESOURCE_SOLID_FUELS,Solid Fuels
RESOURCE_COAL,Coal
RESOURCE_OIL,Oil
RESOURCE_LE_URANIUM_FUEL,LE Uranium Fuel
RESOURCE_HE_URANIUM_FUEL,HE Uranium Fuel
RESOURCE_THORIUM_FUEL,Thorium Fuel
RESOURCE_DEUTERIUM,Deuterium
RESOURCE_HELIUM_3,Helium-3
RESOURCE_SPENT_URANIUM_FUEL,Spent Uranium Fuel
RESOURCE_SPENT_THORIUM_FUEL,Spent Thorium Fuel
RESOURCE_IRON_NICKEL,Iron-Nickel
RESOURCE_IRON_ORES,Iron Ores
RESOURCE_ALUMINIUM_ORES,Aluminium Ores
RESOURCE_INDUST_METAL_ORES,Indust Metal Ores
RESOURCE_PRECIOUS_METAL_ORES,Precious Metal Ores
RESOURCE_RARE_EARTH_ORES,Rare Earth Ores
RESOURCE_URANIUM_ORES,Uranium Ores
RESOURCE_SULFUR,Sulfur
RESOURCE_ORGANICS_THOLINS,Organics/Tholins
RESOURCE_INDUST_MINERALS,Indust Minerals
RESOURCE_STONE,Stone
RESOURCE_REGOLITH,Regolith
RESOURCE_WATER,Water
RESOURCE_OXYGEN,Oxygen
RESOURCE_NITROGEN,Nitrogen
RESOURCE_CARBON_DIOXIDE,Carbon Dioxide
RESOURCE_CARBON_MONOXIDE,Carbon Monoxide
RESOURCE_AMMONIA,Ammonia
RESOURCE_ETHANE,Ethane
RESOURCE_SULFUR_DIOXIDE,Sulfur Dioxide
RESOURCE_HELIUM,Helium
RESOURCE_ARGON,Argon
RESOURCE_HEAVY_NOBLE_GASES,Hvy Nbl Gases
RESOURCE_INDUST_CHEMICALS,Indust Chemicals
RESOURCE_FINE_CHEMICALS,Fine Chemicals
RESOURCE_IRON,Iron
RESOURCE_STEEL,Steel
RESOURCE_ALUMINIUM,Aluminium
RESOURCE_INDUST_METALS,Indust Metals
RESOURCE_PRECIOUS_METALS,Precious Metals
RESOURCE_RARE_EARTHS,Rare Earths
RESOURCE_URANIUM,Uranium
RESOURCE_DEPLETED_URANIUM,Depleted Uranium
RESOURCE_THORIUM,Thorium
RESOURCE_CARBON,Carbon
RESOURCE_CONCRETE,Concrete
RESOURCE_GLASS_CERAMICS,Glass/Ceramics
RESOURCE_SEMICONDUCTOR_MAT,Semiconductor Mat
RESOURCE_POLYMERS,Polymers
RESOURCE_COMPOSITES,Composites
RESOURCE_TECHNICAL_TEXTILES,Technical Textiles
RESOURCE_MUNICIPAL_WASTE,Municipal Waste
RESOURCE_INDUST_WASTE,Industrial Waste
RESOURCE_RADIOACTIVE_WASTE,Radioactive Waste
RESOURCE_INFRASTRUCTURE,Infrastructure
RESOURCE_HEAVY_TRANSPORTS,Heavy Transports
RESOURCE_TRANSPORT_SYSTEMS,Transport Systems
RESOURCE_ROBOTICS,Robotics
RESOURCE_SOLAR_PANELS,Solar Panels
RESOURCE_BATTERIES,Batteries
RESOURCE_STEEL_STRUCTURES,Steel Structures
RESOURCE_ALUMINIUM_STRUCTURES,Aluminium Structures
RESOURCE_COMPOSITE_STRUCTURES,Composite Structures
RESOURCE_HEAVY_MACHINERY,Heavy Machinery
RESOURCE_ELECTRICAL_EQUIPMENT,Electrical Equipment
RESOURCE_PRECISION_EQUIPMENT,Precision Equipment
RESOURCE_ELECTRONICS,Electronics
RESOURCE_TENSOR_PROCESSORS,Tensor Processors
RESOURCE_NEUROMORPHIC_PROCESSORS,Neuromorphic Processors
RESOURCE_CONSUMER_GOODS,Consumer Goods
RESOURCE_SPECIALTY_GOODS,Specialty Goods
RESOURCE_CROP_PROD,Crop Products
RESOURCE_ANIMAL_PROD,Animal Products
RESOURCE_PACKAGED_MEALS,Packaged Meals
RESOURCE_ARTISANAL_FOODS,Artisanal Foods
RESOURCE_ARTISANAL_GOODS,Artisanal Goods
RESOURCE_BIOFIBERS,Biofibers
RESOURCE_LUMBER_WOOD_PROD,Lumber/Wood Prod
RESOURCE_ALGAL_MICROBIAL_PROD,Algal/Microbial Prod
RESOURCE_BIOFEEDSTOCK,Biofeedstock
RESOURCE_BIOCHEMICALS,Biochemicals
RESOURCE_PHARMACEUTICALS,Pharmaceuticals
RESOURCE_FERTILIZERS,Fertilizers
RESOURCE_SOIL_GROWTH_MEDIA,Soil/Growth Media
RESOURCE_BIOWASTE,Biowaste
RESOURCE_WILD_FISHERIES,Wild Fisheries
RESOURCE_TIMBER,Timber
RESOURCE_SCALAR_COMPUTE,Scalar Compute
RESOURCE_TENSOR_COMPUTE,Tensor Compute
RESOURCE_NEUROMORPHIC_COMPUTE,Neuromorphic Compute
RESOURCE_TRANSPORT_SERVICES,Transport Services
RESOURCE_WHOLESALE_LOGISTICS,Wholesale/Logistics
RESOURCE_MAINTENANCE,Maintenance
RESOURCE_RETAIL_SERVICES,Retail Services
RESOURCE_ENTERTAINMENT,Entertainment
RESOURCE_HOSPITALITY,Hospitality
RESOURCE_HEALTHCARE,Healthcare
RESOURCE_EDUCATION,Education
RESOURCE_CONSULTING,Consulting
RESOURCE_MARKETING_ADVERTISING,Marketing/Advertising
RESOURCE_FINANCIAL_SERVICES,Financial Services
RESOURCE_REAL_ESTATE_SERVICES,Real Estate Services
RESOURCE_ACCOUNTING_SERVICES,Accounting Services
RESOURCE_LEGAL_SERVICES,Legal Services
RESOURCE_RESEARCH_DEVELOPMENT,Research & Development
SPACEAGENCY_CNSA,CNSA
SPACEAGENCY_CNSA_LONG,China National Space Administration
SPACEAGENCY_ESA,ESA
SPACEAGENCY_ESA_LONG,European Space Agency
SPACEAGENCY_ISRO,ISRO
SPACEAGENCY_ISRO_LONG,Indian Space Research Organisation
SPACEAGENCY_JAXA,JAXA
SPACEAGENCY_JAXA_LONG,Japan Aerospace Exploration Agency
SPACEAGENCY_NASA,NASA
SPACEAGENCY_NASA_LONG,National Aeronautics and Space Administration
SPACEAGENCY_ROSCOSMOS,Roscosmos
SPACEAGENCY_ROSCOSMOS_LONG,Russian Federal Space Agency
SPACECRAFT_ISS,ISS
SPACECRAFT_TIANGONG,Tiangong
STRATUM_GROUP_BULK,Bulk
STRATUM_GROUP_ATMOSPHERE,Atmosphere
STRATUM_GROUP_OCEAN,Ocean
STRATUM_GROUP_POLAR_SHADED_REGOLITH,Regolith (polar shaded)
STRATUM_GROUP_REGOLITH,Regolith
STRATUM_GROUP_NEAR_SURFACE,Near-Surface
STRATUM_GROUP_CRUST,Crust
STRATUM_GROUP_MANTLE,Mantle
STRATUM_GROUP_CORE,Core
STRATUM_GROUP_ANTARCTIC_CONT_ICE_BODIES,Antarctic Cont Ice Bodies
STRATUM_GROUP_ANTARCTIC_CONT_SURFACE,Antarctic Surface
STRATUM_GROUP_ANTARCTIC_CONT_SHELF,Antarctic Shelf
STRATUM_GROUP_ANTARCTIC_CONT_NEAR_SURFACE,Antarctic Near-Surface
STRATUM_GROUP_ANTARCTIC_CONT_SUBSURFACE,Antarctic Subsurface
STRATUM_GROUP_ANTARCTIC_CONT_DEEP_SUBSURFACE,Antarctic Deep Subsurface
STRATUM_GROUP_ANTARCTIC_CONT_EXTREME_SUBSURFACE,Antarctic Extreme Subsurface
STRATUM_GROUP_ANTARCTIC_CONT_ULTRA_SUBSURFACE,Antarctic Ultra Subsurface
STRATUM_GROUP_ANTARCTIC_CONT_LOWER_CRUST,Antarctic Lower Crust
STRATUM_GROUP_CONT_ICE_BODIES,Continental Ice Bodies
STRATUM_GROUP_CONT_SURFACE,Continental Surface
STRATUM_GROUP_CONT_SHELF,Continental Shelf
STRATUM_GROUP_CONT_NEAR_SURFACE,Continental Near-Surface
STRATUM_GROUP_CONT_SUBSURFACE,Continental Subsurface
STRATUM_GROUP_CONT_DEEP_SUBSURFACE,Continental Deep Subsurface
STRATUM_GROUP_CONT_EXTREME_SUBSURFACE,Continental Extreme Subsurface
STRATUM_GROUP_CONT_ULTRA_SUBSURFACE,Continental Ultra Subsurface
STRATUM_GROUP_CONT_LOWER_CRUST,Continental Lower Crust
STRATUM_GROUP_OCEAN_FLOOR,Ocean Floor
STRATUM_GROUP_OCEAN_CRUST,Ocean Crust
STRATUM_GROUP_CRUST_TERRAE,Crust (terrae)
STRATUM_GROUP_CRUST_MARIA,Crust (maria)
SURVEY_TYPED,Typed
SURVEY_THEORY_DISPUTED,Theory (disputed)
SURVEY_THEORY_WEAK,Theory (weak)
SURVEY_THEORY,Theory
SURVEY_THEORY_STRONG,Theory (strong)
SURVEY_THEORY_ESTABLISHED,Theory (established)
SURVEY_SPECTRAL_SURFACE,Spectral (surface)
SURVEY_SPECTRAL_ATMOSPHERE,Spectral (atmosphere)
SURVEY_SPECTRAL_STELLAR,Spectral (stellar)
SURVEY_EXPLORED,Explored
SURVEY_SURVEYED_1,Surveyed 1
SURVEY_SURVEYED_2,Surveyed 2
SURVEY_SURVEYED_3,Surveyed 3
SURVEY_SURVEYED_4,Surveyed 4
SURVEY_SURVEYED_5,Surveyed 5
SURVEY_SURVEYED_6,Surveyed 6
