	init_open	#reveal_tech	#mine_tech	#well_tech	body_class	body	stratum	polity	outer_depth	thickness	spherical_fraction	area	density	#volume	#mass	inner_pressure	survey
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_EU						PLANET_EARTH	CONT_SUBSURF	EU		4		4.23e6	2.7				SURVEYED_2
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_INDIA						PLANET_EARTH	CONT_SUBSURF	INDIA		4		3.29e6	2.7				SURVEYED_2
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_JAPAN						PLANET_EARTH	CONT_SUBSURF	JAPAN		4		3.78e5	2.7				SURVEYED_2
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_OTHER						PLANET_EARTH	CONT_SUBSURF	OTHER		4		9.03e7	2.7				SURVEYED_2
PLANET_EARTH_STRATUM_CONT_SUBSURF_ANTARCTICA						PLANET_EARTH	CONT_SUBSURF_ANTARCTICA			4		1.42e7	2.7				THEORY_STRONG
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_USA						PLANET_EARTH	CONT_4KM_8KM	USA	4	4		9.83e6	2.7				THEORY_STRONG
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_RUSSIA						PLANET_EARTH	CONT_4KM_8KM	RUSSIA	4	4		1.71e7	2.7				THEORY_STRONG
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_CHINA						PLANET_EARTH	CONT_4KM_8KM	CHINA	4	4		9.60e6	2.7				THEORY_STRONG
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_EU						PLANET_EARTH	CONT_4KM_8KM	EU	4	4		4.23e6	2.7				THEORY_STRONG
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_INDIA						PLANET_EARTH	CONT_4KM_8KM	INDIA	4	4		3.29e6	2.7				THEORY_STRONG
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_JAPAN						PLANET_EARTH	CONT_4KM_8KM	JAPAN	4	4		3.78e5	2.7				THEORY_STRONG
PLANET_EARTH_STRATUM_CONT_4KM_8KM_POLITY_OTHER						PLANET_EARTH	CONT_4KM_8KM	OTHER	4	4		9.03e7	2.7				THEORY_STRONG
PLANET_EARTH_STRATUM_CONT_4KM_8KM_ANTARCTICA						PLANET_EARTH	CONT_4KM_8KM_ANTARCTICA		4	4		1.42e7	2.7				THEORY_STRONG
PLANET_EARTH_STRATUM_CONT_8KM_28KM						PLANET_EARTH	CONT_8KM_28KM		8	20	0.292		2.7				THEORY
PLANET_EARTH_STRATUM_LOWER_CONT_CRUST						PLANET_EARTH	LOWER_CONT_CRUST		28	12	0.292		2.9				THEORY
PLANET_EARTH_STRATUM_MANTLE						PLANET_EARTH	MANTLE		40	2850	1		4.4				THEORY
PLANET_EARTH_STRATUM_CORE						PLANET_EARTH	CORE		2890		1		12.2				THEORY
MOON_MOON_STRATUM_REGOLITH	x					MOON_MOON	REGOLITH			0.013	0.999		1.65				EXPLORED
MOON_MOON_STRATUM_POLAR_SHADED_REGOLITH						MOON_MOON	POLAR_SHADED_REGOLITH			0.013	0.001		1.65				EXPLORED
MOON_MOON_STRATUM_CRUST_TERRAE						MOON_MOON	CRUST_TERRAE		-5	55	0.83		2.7				THEORY
MOON_MOON_STRATUM_CRUST_MARIA						MOON_MOON	CRUST_MARIA		25	25	0.17		3.0				THEORY
MOON_MOON_STRATUM_MANTLE						MOON_MOON	MANTLE		50	1340	1		3.5				THEORY
MOON_MOON_STRATUM_CORE						MOON_MOON	CORE		1387.4		1		7.5				THEORY
PLANET_MARS_STRATUM_ATMOSPHERE	x					PLANET_MARS	ATMOSPHERE		-100	100	1		1.74e-6	1.44e10	2.5e13	610	KNOWN
PLANET_MARS_STRATUM_SURFACE	x					PLANET_MARS	SURFACE			1	1		2.7				EXPLORED
PLANET_MARS_STRATUM_CRUST	x					PLANET_MARS	CRUST		1	50	1		2.7				THEORY_WEAK
MOON_PHOBOS_STRATUM_BULK	x					MOON_PHOBOS	BULK				1		2				SPECTRAL_SURFACE
MOON_DEIMOS_STRATUM_BULK	x					MOON_DEIMOS	BULK				1		2				SPECTRAL_SURFACE
PLANET_CERES_STRATUM_CRUST	x					PLANET_CERES	CRUST			40	1		1.25				SPECTRAL_SURFACE
PLANET_CERES_STRATUM_MANTLE						PLANET_CERES	MANTLE		40	330	1		2.4				THEORY_DISPUTED
PLANET_CERES_STRATUM_CORE						PLANET_CERES	CORE		370		1		2.4				THEORY_DISPUTED
