COMPOSITION_\RESOURCE_	COAL	OIL	METHANE	ETHANE	HYDROGEN	HELIUM3	IRON_ORES	ALUMINIUM_ORES	INDUSTRIAL_METAL_ORES	PRECIOUS_METAL_ORES	RARE_EARTH_ORES	URANIUM_ORES	INDUSTRIAL_MINERALS	THOLINS	STONE	REGOLITH	IRON	INDUSTRIAL_METALS	PRECIOUS_METALS	WATER	OXYGEN	NITROGEN	CARBON_DIOXIDE	CARBON_MONOXIDE	AMMONIA	SULFUR_DIOXIDE	HELIUM	ARGON_NEON	KRYPTON_XENON
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_EU	0.0205	0.000418	0.000536	0.0000536			7	27	6	0.003	0.3	0.03	14		34	12											2e-6		
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_INDIA	0.0423	0.000155	0.000284	0.0000284			7	27	6	0.003	0.3	0.03	14		34	12											2e-6		
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_JAPAN	0.00392	0.000451	0.000353	0.0000353			7	27	6	0.003	0.3	0.03	14		34	12											2e-6		
PLANET_EARTH_STRATUM_CONT_SUBSURF_POLITY_OTHER	0.00613	0.00169	0.000972	0.0000972			7	27	6	0.003	0.3	0.03	14		34	12											2e-6		
PLANET_EARTH_STRATUM_CONT_SUBSURF_ANTARCTICA	0.00920	0.00106	0.000831	0.0000831			7	27	6	0.003	0.3	0.03	14		34	12											2e-6		
PLANET_EARTH_STRATUM_CONT_DEEP_POLITY_USA	0.01665	0.00093	0.00079	0.000079			7.4	25	6	0.003	0.3	0.03	13		40	8											1e-6		
PLANET_EARTH_STRATUM_CONT_DEEP_POLITY_RUSSIA	0.0067	0.000303	0.000925	0.0000925			7.4	25	6	0.003	0.3	0.03	13		40	8											1e-6		
PLANET_EARTH_STRATUM_CONT_DEEP_POLITY_CHINA	0.01025	0.000133	0.0002355	0.00002355			7.4	25	6	0.003	0.3	0.03	13		40	8											1e-6		
PLANET_EARTH_STRATUM_CONT_DEEP_POLITY_EU	0.01025	0.000209	0.000268	0.0000268			7.4	25	6	0.003	0.3	0.03	13		40	8											1e-6		
PLANET_EARTH_STRATUM_CONT_DEEP_POLITY_INDIA	0.02115	0.0000775	0.000142	0.0000142			7.4	25	6	0.003	0.3	0.03	13		40	8											1e-6		
PLANET_EARTH_STRATUM_CONT_DEEP_POLITY_JAPAN	0.00196	0.0002255	0.0001765	0.00001765			7.4	25	6	0.003	0.3	0.03	13		40	8											1e-6		
PLANET_EARTH_STRATUM_CONT_DEEP_POLITY_OTHER	0.003065	0.000845	0.000486	0.0000486			7.4	25	6	0.003	0.3	0.03	13		40	8											1e-6		
PLANET_EARTH_STRATUM_CONT_DEEP_ANTARCTICA	0.0046	0.00053	0.0004155	0.00004155			7.4	25	6	0.003	0.3	0.03	13		40	8											1e-6		
PLANET_EARTH_STRATUM_CONT_ULTRA_DEEP							7.8	24	6	0.003	0.3	0.03	12		43	7													
PLANET_EARTH_STRATUM_CONT_EXTREME_DEEP							7.8	24	6	0.003	0.3	0.03	12		43	7													
PLANET_EARTH_STRATUM_CONT_LOWER_CRUST							10	22	6	0.003	0.3	0.03	11		45	6													
PLANET_EARTH_STRATUM_MANTLE							12.8	6	6	0.003	0.03	0.003	8		67														
PLANET_EARTH_STRATUM_CORE													5.4				88.8	5.8	0.000003										
MOON_MOON_STRATUM_REGOLITH						0.0000137	7.8	37	1.5	0.0015	0.035	0.015	15		19.3	19.3													
MOON_MOON_STRATUM_POLAR_SHADED_REGOLITH			0.015				7.8	37	1.5	0.0015	0.035	0.015	15		16.9	16.9				4.76			0.15		0.015				
MOON_MOON_STRATUM_CRUST_TERRAE							5	43	1.5	0.0015	0.025	0.015	15		26.6	8.9													
MOON_MOON_STRATUM_CRUST_MARIA							10.7	25	3	0.002	0.045	0.025	10		44.8	6.4													
MOON_MOON_STRATUM_MANTLE							12.8	8	3	0.0015	0.0075	0.0075	8		68.2														
MOON_MOON_STRATUM_CORE													5.4				88.8	5.8	0.000003										
PLANET_MARS_STRATUM_ATMOSPHERE																				0.021	0.146	1.89	95.97	0.0557				1.93	0.00011
PLANET_MARS_STRATUM_SURFACE							7.8	25	3	0.0035	0.025	0.025	15		24.5	24.5				0.05									
PLANET_MARS_STRATUM_CRUST							7.8	25	3	0.0035	0.025	0.025	15		36	12				1									
MOON_PHOBOS_STRATUM_BULK			2.24	0.32			12.4	2.9	6	0.003	0.003	0.003	10	2.24	25	25				10		0.32	2.24	0.32	0.32	0.32	0.03	0.32	0.00011
MOON_DEIMOS_STRATUM_BULK			2.24	0.32			12.4	2.9	6	0.003	0.003	0.003	10	2.24	25	25				10		0.32	2.24	0.32	0.32	0.32	0.03	0.32	0.00011
PLANET_CERES_STRATUM_CRUST			0.32	0.32			24.3	5	3	0.0015	0.0075	0.0075	10	0.32	18.6	18.6				17		0.03	1.58	0.32	0.03	0.32	0.03	0.32	0.00011
PLANET_CERES_STRATUM_MANTLE			0.32	0.32			32	2.3	1.5	0.00075	0.0035	0.0035	10	0.32	21	21				10		0.03	0.32	0.32	0.03	0.32	0.03	0.32	0.00011
PLANET_CERES_STRATUM_CORE			0.32	0.32			50	0.001	15	0.0015			10	0.32	11.2	11.2				0.32		0.03	0.32	0.32	0.03	0.32	0.03	0.32	0.00011
@ENUM_X_ENUM																													
@DATA_TYPE=FLOAT																													
@DATA_DEFAULT=0																													
# game start values																													
# normalized to 100% & converted to mass																													
# columns RESOURCE_ (is_extraction subset)																													
