RESOURCE_\FACILITY_	PLANET_EARTH_USA	PLANET_EARTH_RUSSIA	PLANET_EARTH_CHINA	PLANET_EARTH_EU	PLANET_EARTH_INDIA	PLANET_EARTH_JAPAN	PLANET_EARTH_OTHER	PLANET_EARTH_NASA	PLANET_EARTH_ROSCOSMOS	PLANET_EARTH_CNSA	PLANET_EARTH_ESA	PLANET_EARTH_ISRO	PLANET_EARTH_JAXA	SPACECRAFT_ISS_NASA	SPACECRAFT_ISS_ROSCOSMOS	SPACECRAFT_ISS_ESA	SPACECRAFT_ISS_JAXA	SPACECRAFT_TIANGONG_CNSA
HELIUM	3.60e3,4.00e2	4.50e2,5.00e1	2.70e2,3.00e1	2.70e2,3.00e1	9.00e1,1.00e1	1.80e2,2.00e1	2.00e3,5.00e2											
ARGON	1.80e4,2.00e3	4.50e3,5.00e2	3.60e4,4.00e3	1.80e4,2.00e3	9.00e3,1.00e3	4.50e3,5.00e2	3.60e4,4.00e3											
HEAVY_NOBLE_GASES																		
INDUST_CHEMICALS	3.60e6,4.00e5	9.00e5,1.00e5	7.20e6,8.00e5	3.60e6,4.00e5	1.40e6,1.50e5	1.40e6,1.50e5	5.40e6,6.00e5											
FINE_CHEMICALS	5.40e7,6.00e6	9.00e6,1.00e6	1.10e8,1.20e7	7.20e7,8.00e6	1.80e7,2.00e6	2.70e7,3.00e6	7.20e7,8.00e6											
IRON	4.50e6,5.00e5	4.80e6,1.20e6	2.70e7,3.00e6	7.20e6,8.00e5	4.50e6,5.00e5	3.60e6,4.00e5	1.80e7,2.00e6											
STEEL	7.20e6,8.00e5	4.80e6,1.20e6	5.40e7,6.00e6	1.10e7,1.20e6	9.00e6,1.00e6	5.40e6,6.00e5	4.00e7,1.00e7											
ALUMINIUM	4.50e5,5.00e4	3.00e5,1.00e5	2.20e6,2.50e5	4.50e5,5.00e4	2.70e5,3.00e4	1.80e5,2.00e4	1.20e6,3.00e5											
INDUST_METALS	9.00e5,1.00e5	4.00e5,1.00e5	2.70e6,3.00e5	7.20e5,8.00e4	3.60e5,4.00e4	2.70e5,3.00e4	1.60e6,4.00e5											
PRECIOUS_METALS	8.10e9,4.30e8	2.40e9,1.30e8	2.70e9,2.70e8	1.00e10,5.30e8	3.20e9,3.20e8	9.00e8,9.00e7	1.20e10,1.20e9											
RARE_EARTHS	4.50e6,5.00e5	1.80e6,2.00e5	4.00e7,1.00e7	2.70e6,3.00e5	1.80e6,2.00e5	4.50e6,5.00e5	8.00e6,2.00e6											
URANIUM	4.30e7,2.30e6	5.70e7,3.00e6	2.90e7,1.50e6	1.90e7,1.00e6	9.50e6,5.00e5	7.60e6,4.00e5	3.60e7,4.00e6											
DEPLETED_URANIUM	4.80e5,2.50e4	6.70e5,3.50e4	9.50e4,5.00e3	1.90e5,1.00e4	9.50e3,5.00e2	9.50e3,5.00e2	9.50e4,5.00e3											
THORIUM	2.90e6,1.50e5	9.50e5,5.00e4	9.50e5,5.00e4	4.80e5,2.50e4	9.50e6,5.00e5	9.50e4,5.00e3	2.90e6,1.50e5											
CARBON	1.80e6,2.00e5	1.20e6,3.00e5	9.00e6,1.00e6	1.80e6,2.00e5	1.40e6,1.50e5	9.00e5,1.00e5	4.00e6,1.00e6											
CONCRETE	4.50e6,5.00e5	1.40e6,1.50e5	4.50e7,5.00e6	4.50e6,5.00e5	9.00e6,1.00e6	1.40e6,1.50e5	1.80e7,2.00e6											
GLASS_CERAMICS	1.80e6,2.00e5	4.50e5,5.00e4	4.50e6,5.00e5	1.80e6,2.00e5	7.20e5,8.00e4	7.20e5,8.00e4	4.50e6,5.00e5											
SEMICONDUCTOR_MAT	1.40e5,1.50e4	4.50e3,5.00e2	2.20e5,2.50e4	7.20e4,8.00e3	9.00e3,1.00e3	1.40e5,1.50e4	1.80e5,2.00e4											
POLYMERS	2.70e6,3.00e5	7.20e5,8.00e4	7.20e6,8.00e5	2.70e6,3.00e5	9.00e5,1.00e5	7.20e5,8.00e4	4.50e6,5.00e5											
COMPOSITES	1.40e5,1.50e4	1.80e4,2.00e3	2.20e5,2.50e4	1.10e5,1.20e4	2.70e4,3.00e3	4.50e4,5.00e3	1.80e5,2.00e4											
TECHNICAL_TEXTILES	2.20e8,2.50e7	4.50e7,5.00e6	4.50e8,5.00e7	1.80e8,2.00e7	9.00e7,1.00e7	4.50e7,5.00e6	4.50e8,5.00e7											
MUNICIPAL_WASTE																		
INDUST_WASTE																		
RADIOACTIVE_WASTE																		
INFRASTRUCTURE																		
HEAVY_TRANSPORTS																		
TRANSPORT_SYSTEMS	2.70e5,3.00e4	2.70e4,3.00e3	4.50e5,5.00e4	2.20e5,2.50e4	7.20e4,8.00e3	1.80e5,2.00e4	1.80e5,2.00e4											
ROBOTICS	5.40e5,6.00e4	4.50e4,5.00e3	1.40e6,1.50e5	4.50e5,5.00e4	9.00e4,1.00e4	7.20e5,8.00e4	4.50e5,5.00e4											
BATTERIES	9.00e3,1.00e3	9.00e2,1.00e2	3.20e4,3.50e3	7.20e3,8.00e2	1.80e3,2.00e2	4.50e3,5.00e2	9.00e3,1.00e3											
SOLAR_PANELS	1.40e5,1.50e4	4.50e3,5.00e2	6.00e5,1.00e5	9.00e4,1.00e4	4.50e4,5.00e3	2.70e4,3.00e3	1.80e5,2.00e4	5.00e1,0	2.00e1,0	4.00e1,0	3.00e1,0	1.50e1,0	2.00e1,0					
STEEL_STRUCTURES	1.80e6,2.00e5	4.50e5,5.00e4	5.40e6,6.00e5	1.80e6,2.00e5	9.00e5,1.00e5	7.20e5,8.00e4	3.60e6,4.00e5											
ALUMINIUM_STRUCTURES	2.20e5,2.50e4	4.00e4,1.00e4	4.50e5,5.00e4	1.80e5,2.00e4	7.20e4,8.00e3	7.20e4,8.00e3	3.60e5,4.00e4	1.00e3,0	5.00e2,0	8.00e2,0	4.00e2,0	3.00e2,0	3.00e2,0					
COMPOSITE_STRUCTURES	2.70e7,3.00e6	2.70e6,3.00e5	4.50e7,5.00e6	2.20e7,2.50e6	4.50e6,5.00e5	1.40e7,1.50e6	2.70e7,3.00e6	2.00e5,0	1.00e5,0	2.00e5,0	1.50e5,0	8.00e4,0	1.00e5,0					
HEAVY_MACHINERY	2.20e6,2.50e5	4.50e5,5.00e4	4.50e6,5.00e5	2.20e6,2.50e5	4.50e5,5.00e4	1.40e6,1.50e5	3.60e6,4.00e5											
ELECTRICAL_EQUIPMENT	1.80e6,2.00e5	2.70e5,3.00e4	3.60e6,4.00e5	1.80e6,2.00e5	4.50e5,5.00e4	9.00e5,1.00e5	2.70e6,3.00e5											
PRECISION_EQUIPMENT	2.70e8,3.00e7	2.70e7,3.00e6	3.60e8,4.00e7	2.70e8,3.00e7	4.50e7,5.00e6	1.80e8,2.00e7	2.70e8,3.00e7	3.00e5,0	1.50e5,0	2.50e5,0	2.00e5,0	1.00e5,0	1.50e5,0					
ELECTRONICS	4.50e8,5.00e7	4.50e7,5.00e6	1.40e9,1.50e8	3.60e8,4.00e7	1.40e8,1.50e7	3.60e8,4.00e7	9.00e8,1.00e8	5.00e5,0	2.00e5,0	4.00e5,0	3.00e5,0	1.50e5,0	2.50e5,0					
TENSOR_PROCESSORS	7.20e4,8.00e3	2.70e3,3.00e2	1.40e5,1.50e4	2.70e4,3.00e3	9.00e3,1.00e3	2.70e4,3.00e3	9.00e4,1.00e4											
NEUROMORPHIC_PROCESSORS																		
CONSUMER_GOODS	9.00e6,1.00e6	1.80e6,2.00e5	1.20e7,3.00e6	7.20e6,8.00e5	2.70e6,3.00e5	2.70e6,3.00e5	1.80e7,2.00e6											
SPECIALTY_GOODS	2.70e8,3.00e7	2.70e7,3.00e6	3.20e8,8.00e7	2.20e8,2.50e7	4.50e7,5.00e6	9.00e7,1.00e7	3.60e8,4.00e7											
CROP_PROD	4.50e7,5.00e6	1.60e7,4.00e6	2.70e8,3.00e7	4.50e7,5.00e6	7.20e7,8.00e6	9.00e6,1.00e6	4.00e8,1.00e8											
ANIMAL_PROD	1.80e6,2.00e5	4.50e5,5.00e4	3.60e6,4.00e5	1.80e6,2.00e5	9.00e5,1.00e5	4.50e5,5.00e4	2.70e6,3.00e5											
PACKAGED_MEALS	5.40e6,6.00e5	1.40e6,1.50e5	9.00e6,1.00e6	4.50e6,5.00e5	1.80e6,2.00e5	1.80e6,2.00e5	1.40e7,1.50e6							0.47,0	0.31,0	0.16,0	0.16,0	0.50,0
ARTISANAL_FOODS	3.60e8,4.00e7	7.20e7,8.00e6	4.50e8,5.00e7	4.50e8,5.00e7	1.40e8,1.50e7	1.40e8,1.50e7	6.30e8,7.00e7											
ARTISANAL_GOODS	2.20e8,2.50e7	4.50e7,5.00e6	2.70e8,3.00e7	2.70e8,3.00e7	1.40e8,1.50e7	9.00e7,1.00e7	4.50e8,5.00e7											
BIOFIBERS	2.70e5,3.00e4	4.50e4,5.00e3	7.20e5,8.00e4	1.80e5,2.00e4	3.60e5,4.00e4	2.70e4,3.00e3	6.40e5,1.60e5											
LUMBER_WOOD_PROD	4.50e6,5.00e5	2.40e6,6.00e5	7.20e6,8.00e5	4.50e6,5.00e5	1.40e6,1.50e5	1.40e6,1.50e5	8.00e6,2.00e6											
ALGAL_MICROBIAL_PROD	1.80e3,2.00e2	1.80e2,2.00e1	4.50e3,5.00e2	1.40e3,1.50e2	7.20e2,8.00e1	9.00e2,1.00e2	2.70e3,3.00e2											
BIOFEEDSTOCK	2.70e6,3.00e5	4.50e5,5.00e4	4.50e6,5.00e5	2.20e6,2.50e5	1.80e6,2.00e5	2.70e5,3.00e4	6.30e6,7.00e5											
BIOCHEMICALS	7.20e5,8.00e4	1.40e5,1.50e4	1.40e6,1.50e5	7.20e5,8.00e4	2.70e5,3.00e4	2.70e5,3.00e4	1.40e6,1.50e5											
PHARMACEUTICALS	6.30e8,7.00e7	7.20e7,8.00e6	7.20e8,8.00e7	6.30e8,7.00e7	4.00e8,1.00e8	1.80e8,2.00e7	9.00e8,1.00e8											
FERTILIZERS	3.20e6,3.50e5	2.10e6,9.00e5	9.00e6,1.00e6	2.70e6,3.00e5	2.70e6,3.00e5	4.50e5,5.00e4	1.20e7,3.00e6											
SOIL_GROWTH_MEDIA																		
BIOWASTE	9.00e5,1.00e5	1.80e5,2.00e4	2.70e6,3.00e5	1.40e6,1.50e5	9.00e5,1.00e5	4.50e5,5.00e4	2.70e6,3.00e5											
@ENTITY_X_ENTITY																		
@DATA_TYPE=VECTOR2																		
@DATA_DEFAULT=0,0																		
@TRANSPOSE																		
# (reserve, for_sale)																		
# in trade_unit from resources.tsv																		
# transposed on import to:																		
# table[facility_type][resource_type]																		
