MODULE_\FACILITY_	PLANET_EARTH_USA	PLANET_EARTH_RUSSIA	PLANET_EARTH_CHINA	PLANET_EARTH_EU	PLANET_EARTH_INDIA	PLANET_EARTH_JAPAN	PLANET_EARTH_OTHER	PLANET_EARTH_NASA	PLANET_EARTH_ROSCOSMOS	PLANET_EARTH_CNSA	PLANET_EARTH_ESA	PLANET_EARTH_ISRO	PLANET_EARTH_JAXA	SPACECRAFT_ISS_NASA	SPACECRAFT_ISS_ROSCOSMOS	SPACECRAFT_ISS_ESA	SPACECRAFT_ISS_JAXA	SPACECRAFT_TIANGONG_CNSA
SOLAR_ARRAYS	2.75e4	680	5.85e4	1.32e5	6.80e3	4.63e4	3.72e4							0.084	0.028			3.00e-3
GEOTHERMAL_PLANTS	2.60e3	82	27	1.60e3		520	8.19e3
CHEMICAL_PLANTS	1.79e4	3.58e3	4.18e4	1.79e4	5.97e3	5.97e3	2.63e4
FINE_CHEMICALS_PLANTS	3.28e3		2.63e3	3.28e3	656	1.31e3	1.97e3
CONCRETE_PLANTS	8.73e4	5.24e4	1.99e6	1.75e5	2.27e5	3.49e4	9.25e5
GLASS_CERAMICS_PLANTS	2.95e3	1.11e3	1.84e4	4.43e3	1.84e3	1.11e3	7.01e3
SEMICONDUCTOR_MAT_FABS	1.31		0.99	0.99		1.64	1.64
PROPELLANT_PLANTS	55	21	21	21	7	7	7
FERTILIZER_PLANTS	2.55e3	1.59e3	9.56e3	3.19e3	3.19e3	319	1.15e4
CONSTRUCTION_YARDS	2.63e4	7.89e3	1.32e5	3.16e4	1.32e4	1.05e4	4.21e4
SPACE_YARDS	2.2e-3	2.2e-3	6.7e-4	1.1e-3	4.5e-4	2.2e-4	1.1e-3
TRANSPORT_FACTORIES	3.79e3	583	8.75e3	5.25e3	1.46e3	3.79e3	5.54e3
METAL_FAB_WORKS	5.53e3;1.15e3	2.76e3;230	3.45e4;5.76e3	6.91e3;1.38e3	2.76e3;346	3.45e3;576	1.31e4;2.07e3
COMPOSITES_FACILITIES	788;350	52.5;23.3	525;233	656;292	78.8;35.0	263;117	263;117
TEXTILES_MILLS	428	85.6	1.93e3	642	342	214	642
HEAVY_MANUF_PLANTS	2.85e3;1.82e3	855;363	1.14e4;7.27e3	4.28e3;2.72e3	855;545	2.28e3;1.82e3	5.99e3;3.63e3
PRECISION_MANUF_PLANTS	597	59.7	597	597	89.5	448	597
ELECTRONICS_FACTORIES	584	146	3.65e3	584	146	584	1.60e3
ADVANCED_PROCESSOR_FABS	9.27e-2;0		1.55e-2;0	1.55e-2;0		1.55e-2;0	1.70e-1;0
ROBOTICS_FACTORIES	1.31		2.19	1.75		2.63	0.875
SOLAR_PANEL_FACTORIES	6.42		83.4	10.3	2.57	6.42	19.3
BATTERY_FACTORIES	171	34.2	685	171	51.4	257	342
NUCLEAR_FUEL_FAB_PLANTS	1.80;6.04e-2;0	3.61;6.04e-2;0	1.20;0;0	3.01;0;0	0.120;0;0	0.602;0;0	1.68;3.02e-2;0
CONSUMER_GOODS_FACTORIES	3.42e4;5.47e3	8.56e3;729	9.99e4;1.28e4	4.28e4;5.47e3	1.43e4;1.09e3	1.14e4;3.65e3	7.42e4;7.29e3
CREW_SYSTEMS														0.200	0.300	0.0500	0.0400
CITIES_TOWNS	1.61e4	7.20e3	6.90e4	2.61e4	6.55e4	6.35e3	1.78e5	3.00	11.8	15.0	2.50	1.00	0.500
INDUST_FARMS	2.33e5	4.75e4	3.61e5	1.96e5	8.14e4	8.75e3	7.76e5
CONTROLLED_ENV_FARMS	1.22e3	408	4.08e3	1.02e4	204	1.63e3	2.04e3
ARTISANAL_FARMS	1.78e3	1.11e3	4.44e3	3.33e3	4.44e3	1.55e3	5.55e3
ARTISANAL_WORKSHOPS	584	365	1.46e3	729	1.82e3	511	1.82e3
COMMERCIAL_FISHING_FLEETS	99.4	89.5	338	119	93.4	69.6	1.04e3
AQUACULTURE_FARMS	150	150	1.85e4	598	2.39e3	449	5.98e3
CONTROLLED_ENV_AQUACULTURE_FACILITIES	33	2	11	131	2	22	18
FORESTRY_OPS	633	1.66e3	1.89e3	783	1.42e3	161	1.36e4
ALGAL_CULTIVATION_FACILITIES	0.660		4.60	0.260	0.200	0.330	0.520
BIOREACTOR_FACILITIES	0;4.34e3;1.15e3	0;0;92	0;232;919	0;387;1.15e3	0;31;230	0;0;368	0;2.75e3;689
FOOD_PROCESSING_PLANTS	5.11e4	8.51e3	6.24e4	5.68e4	2.84e4	1.42e4	6.24e4
BIOGAS_DIGESTERS	1.89e3	189	5.09e3	6.60e3	754	189	4.15e3
BIOMASS_CONVERSION_PLANTS	409		68	614			273
PHARMACEUTICAL_PLANTS	120	11	82	137	109	44	44
SOIL_CONDITIONING_FACILITIES
WASTEWATER_TREATMENT_PLANTS	3.28e3	821	4.10e3	3.61e3	821	1.31e3	2.46e3
@ENTITY_X_ENTITY
@DATA_TYPE=ARRAY[FLOAT]
@TRANSPOSE
# transposed on import to:
# table[facility_type][operation_type]
