name\Field	sublabel	module	stratum_group	process_group	electricity	solar	heat	efficiency	civ_power	mass_conversion	fuel_rate	manufacturing	bioproduction	computation	target_deposits	target_rate	overburden	discovered_norm	input_resources	input_rates	output_resources	output_rates	target_products	atmos_trace_inputs	atmos_outputs
OIL_POWER	RESOURCE_OIL	COMBUSTION_POWER_PLANTS		CONVERSION	1		1.63	0.38	2.63	0.997	0.237								OIL;OXYGEN	0.237;0.760	CARBON_DIOXIDE;WATER;SULFUR;INDUST_WASTE	0.734;0.256;3.56e-3;3.32e-3			CARBON_DIOXIDE;WATER
COAL_POWER	RESOURCE_COAL	COMBUSTION_POWER_PLANTS		CONVERSION	1		1.38	0.42	2.38	1.051	0.343								COAL;OXYGEN	0.343;0.708	CARBON_DIOXIDE;WATER;SULFUR;INDUST_WASTE	0.830;0.170;5.15e-3;0.0463			CARBON_DIOXIDE;WATER
HYDROGEN_FUEL_CELLS	RESOURCE_HYDROGEN	FUEL_CELLS		CONVERSION	1		0.818	0.55	1.82	0.491	0.0545								HYDROGEN;OXYGEN	0.0545;0.436	WATER	0.491			WATER
METHANE_FUEL_CELLS	RESOURCE_METHANE	FUEL_CELLS		CONVERSION	1		0.818	0.55	1.82	0.655	0.131								METHANE;OXYGEN	0.131;0.524	CARBON_DIOXIDE;WATER	0.360;0.295			CARBON_DIOXIDE;WATER
METHANOL_FUEL_CELLS	RESOURCE_METHANOL	FUEL_CELLS		CONVERSION	1		1.22	0.45	2.22	1.005	0.402								METHANOL;OXYGEN	0.402;0.603	CARBON_DIOXIDE;WATER	0.553;0.452			CARBON_DIOXIDE;WATER
LEU_FISSION_POWER	TXT_LEU_FISSION	LEU_NUCLEAR_PLANTS		CONVERSION	1		1.94	0.34	2.94	3.47e-6	3.47e-6								LE_URANIUM_FUEL	3.47e-6	SPENT_URANIUM_FUEL	3.47e-6			
HEU_FISSION_POWER	TXT_HEU_FISSION	HEU_NUCLEAR_REACTORS		CONVERSION	1		2.33	0.30	3.33	3.70e-6	3.70e-6								HE_URANIUM_FUEL	3.70e-6	SPENT_URANIUM_FUEL	3.70e-6			
THORIUM_FISSION_POWER	TXT_THORIUM_FISSION	THORIUM_NUCLEAR_PLANTS		CONVERSION	1		1.94	0.34	2.94	4.36e-6	4.36e-6								THORIUM_FUEL	4.36e-6	SPENT_THORIUM_FUEL	4.36e-6			
D_T_FUSION_POWER	TXT_D_T_FUSION	D_T_FUSION_PLANTS		CONVERSION	1		1.50	0.40	2.50	3.35e-8	3.35e-8								DEUTERIUM;INDUST_METALS	8.39e-9;2.51e-8	HELIUM	3.35e-8			
D_3HE_FUSION_POWER	TXT_D_3HE_FUSION	D_3HE_FUSION_PLANTS		CONVERSION	1		1.00	0.50	2.00	2.05e-8	2.05e-8								DEUTERIUM;HELIUM_3	8.22e-9;1.23e-8	HELIUM;HYDROGEN	1.63e-8;4.20e-9			
3HE_3HE_FUSION_POWER	TXT_3HE_3HE_FUSION	3HE_3HE_FUSION_PLANTS		CONVERSION	1		0.818	0.55	1.82	3.18e-8	3.18e-8								HELIUM_3	3.18e-8	HELIUM;HYDROGEN	2.11e-8;1.07e-8			
RADIOISOTOPE_POWER	TXT_RADIOISOTOPE	RADIOISOTOPE_GENERATORS		CONVERSION	1		9.00	0.10	10.0	0	0														
ATMOSPHERE_SEPARATION	TXT_SEPARATION	ATMOSPHERE_PROCESSORS	ATMOSPHERE	EXTRACTION	-1		0.50	0.50								12.0	0	1.0							
REGOLITH_VOLATILES_EXTRACTION	TXT_VOLATILES_EXTRACTION	REGOLITH_VOLATILES_EXTRACTION_PLANTS	REGOLITH	EXTRACTION	-1		0.65	0.35								2.5	0.2	1.0							
HYDROCARBON_BODIES_SEPARATION	TXT_SEPARATION	HYDROCARBON_BODIES_PROCESSORS	HYDROCARBON_BODIES	EXTRACTION	-1		0.55	0.45							METHANE;ETHANE	20.0	0	0.95					METHANE;ETHANE		
OCEAN_DESALINATION	TXT_DESALINATION	OCEAN_DESALINATION_PLANTS	OCEAN	EXTRACTION	-1		0.50	0.50							WATER;INDUST_MINERALS;INDUST_METAL_ORES;URANIUM_ORES	401	0	1.005					WATER;INDUST_MINERALS;INDUST_METAL_ORES;URANIUM_ORES		
CONT_SURFACE_BRINE_EXTRACTION	TXT_BRINE_EXTRACTION	CONT_SURFACE_BRINE_PROCESSING_PLANTS	CONT_SURFACE	EXTRACTION	-1		0.55	0.45							INDUST_MINERALS;INDUST_METAL_ORES	2.1	0	0.98					INDUST_MINERALS;INDUST_METAL_ORES		
CONT_SURFACE_GAS_DRILLING	TXT_GAS_DRILLING	CONT_SURFACE_DRILLING_RIGS	CONT_SURFACE	EXTRACTION	-1		0.60	0.40							METHANE;ETHANE;HELIUM	13.3	1.0	0.0036					METHANE; ETHANE; HELIUM		
CONT_SURFACE_OIL_DRILLING	TXT_OIL_DRILLING	CONT_SURFACE_DRILLING_RIGS	CONT_SURFACE	EXTRACTION	-1		0.62	0.38							OIL	10.9	1.0	0.0056					OIL		
CONT_SURFACE_COAL_MINING	TXT_COAL_MINING	CONT_SURFACE_MINES	CONT_SURFACE	EXTRACTION	-1		0.58	0.42							COAL	56.0	80	0.045					COAL		
CONT_SURFACE_IRON_MINING	TXT_IRON_MINING	CONT_SURFACE_MINES	CONT_SURFACE	EXTRACTION	-1		0.58	0.42							IRON_NICKEL;IRON_ORES	70.0	35	0.011					IRON_NICKEL;IRON_ORES		
CONT_SURFACE_ALUMINIUM_MINING	TXT_ALUMINIUM_MINING	CONT_SURFACE_MINES	CONT_SURFACE	EXTRACTION	-1		0.55	0.45							ALUMINIUM_ORES	120	60	0.0053					ALUMINIUM_ORES		
CONT_SURFACE_INDUST_METALS_MINING	TXT_INDUST_METALS_MINING	CONT_SURFACE_MINES	CONT_SURFACE	EXTRACTION	-1		0.62	0.38							INDUST_METAL_ORES	18.1	35	0.027					INDUST_METAL_ORES		
CONT_SURFACE_PRECIOUS_METALS_MINING	TXT_PRECIOUS_METALS_MINING	CONT_SURFACE_MINES	CONT_SURFACE	EXTRACTION	-1		0.68	0.32							PRECIOUS_METAL_ORES	8.0	25	0.003					PRECIOUS_METAL_ORES		
CONT_SURFACE_URANIUM_MINING	TXT_URANIUM_MINING	CONT_SURFACE_MINES	CONT_SURFACE	EXTRACTION	-1		0.68	0.32							URANIUM_ORES	9.1	25	0.004					URANIUM_ORES		
CONT_SURFACE_RARE_EARTHS_MINING	TXT_RARE_EARTHS_MINING	CONT_SURFACE_MINES	CONT_SURFACE	EXTRACTION	-1		0.65	0.35							RARE_EARTH_ORES	14.6	30	0.0075					RARE_EARTH_ORES		
CONT_SURFACE_SULFUR_MINING	TXT_SULFUR_MINING	CONT_SURFACE_MINES	CONT_SURFACE	EXTRACTION	-1		0.55	0.45							SULFUR	115	35	0.018					SULFUR		
CONT_SURFACE_ORGANICS_MINING	TXT_ORGANICS_MINING	CONT_SURFACE_MINES	CONT_SURFACE	EXTRACTION	-1		0.60	0.40							ORGANICS_THOLINS	50.0	50	0.036					ORGANICS_THOLINS		
CONT_SURFACE_INDUST_MINERALS_MINING	TXT_INDUST_MINERALS_MINING	CONT_SURFACE_MINES	CONT_SURFACE	EXTRACTION	-1		0.55	0.45							INDUST_MINERALS	100	50	0.95					INDUST_MINERALS		
CONT_SURFACE_STONE_QUARRYING	TXT_STONE_QUARRYING	CONT_SURFACE_QUARRIES	CONT_SURFACE	EXTRACTION	-1		0.50	0.50							STONE	250	0	1.0					STONE		
CONT_SURFACE_REGOLITH_QUARRYING	TXT_REGOLITH_QUARRYING	CONT_SURFACE_QUARRIES	CONT_SURFACE	EXTRACTION	-1		0.45	0.55							REGOLITH	367	0	0.77					REGOLITH		
CONT_NEAR_SURFACE_GAS_DRILLING	TXT_GAS_DRILLING	CONT_NEAR_SURFACE_DRILLING_RIGS	CONT_NEAR_SURFACE	EXTRACTION	-1		0.70	0.30							METHANE;ETHANE;HELIUM	7.6	0.50	0.0028					METHANE; ETHANE; HELIUM		
CONT_NEAR_SURFACE_OIL_DRILLING	TXT_OIL_DRILLING	CONT_NEAR_SURFACE_DRILLING_RIGS	CONT_NEAR_SURFACE	EXTRACTION	-1		0.71	0.29							OIL	5.8	0.50	0.004					OIL		
CONT_NEAR_SURFACE_COAL_MINING	TXT_COAL_MINING	CONT_NEAR_SURFACE_MINES	CONT_NEAR_SURFACE	EXTRACTION	-1		0.68	0.32							COAL	19.6	1.7	0.021					COAL		
CONT_NEAR_SURFACE_IRON_MINING	TXT_IRON_MINING	CONT_NEAR_SURFACE_MINES	CONT_NEAR_SURFACE	EXTRACTION	-1		0.68	0.32							IRON_NICKEL;IRON_ORES	13.6	2.4	0.0039					IRON_NICKEL;IRON_ORES		
CONT_NEAR_SURFACE_ALUMINIUM_MINING	TXT_ALUMINIUM_MINING	CONT_NEAR_SURFACE_MINES	CONT_NEAR_SURFACE	EXTRACTION	-1		0.66	0.34							ALUMINIUM_ORES	25.7	2.9	0.0017					ALUMINIUM_ORES		
CONT_NEAR_SURFACE_INDUST_METALS_MINING	TXT_INDUST_METALS_MINING	CONT_NEAR_SURFACE_MINES	CONT_NEAR_SURFACE	EXTRACTION	-1		0.71	0.29							INDUST_METAL_ORES	9.2	2.3	0.019					INDUST_METAL_ORES		
CONT_NEAR_SURFACE_PRECIOUS_METALS_MINING	TXT_PRECIOUS_METALS_MINING	CONT_NEAR_SURFACE_MINES	CONT_NEAR_SURFACE	EXTRACTION	-1		0.76	0.24							PRECIOUS_METAL_ORES	6.1	2.0	0.0031					PRECIOUS_METAL_ORES		
CONT_NEAR_SURFACE_URANIUM_MINING	TXT_URANIUM_MINING	CONT_NEAR_SURFACE_MINES	CONT_NEAR_SURFACE	EXTRACTION	-1		0.76	0.24							URANIUM_ORES	6.1	2.0	0.0036					URANIUM_ORES		
CONT_NEAR_SURFACE_RARE_EARTHS_MINING	TXT_RARE_EARTHS_MINING	CONT_NEAR_SURFACE_MINES	CONT_NEAR_SURFACE	EXTRACTION	-1		0.73	0.27							RARE_EARTH_ORES	8.5	2.1	0.0059					RARE_EARTH_ORES		
CONT_NEAR_SURFACE_SULFUR_MINING	TXT_SULFUR_MINING	CONT_NEAR_SURFACE_MINES	CONT_NEAR_SURFACE	EXTRACTION	-1		0.66	0.34							SULFUR	21.0	1.8	0.0044					SULFUR		
CONT_NEAR_SURFACE_ORGANICS_MINING	TXT_ORGANICS_MINING	CONT_NEAR_SURFACE_MINES	CONT_NEAR_SURFACE	EXTRACTION	-1		0.70	0.30							ORGANICS_THOLINS	14.9	2.0	0.13					ORGANICS_THOLINS		
CONT_NEAR_SURFACE_INDUST_MINERALS_MINING	TXT_INDUST_MINERALS_MINING	CONT_NEAR_SURFACE_MINES	CONT_NEAR_SURFACE	EXTRACTION	-1		0.66	0.34							INDUST_MINERALS	20.5	2.3	0.86					INDUST_MINERALS		
CONT_SUBSURFACE_GAS_DRILLING	TXT_GAS_DRILLING	CONT_SUBSURFACE_DRILLING_RIGS	CONT_SUBSURFACE	EXTRACTION	-1		0.78	0.22							METHANE;ETHANE;HELIUM	3.7	0.30	0.0019					METHANE; ETHANE; HELIUM		
CONT_SUBSURFACE_OIL_DRILLING	TXT_OIL_DRILLING	CONT_SUBSURFACE_DRILLING_RIGS	CONT_SUBSURFACE	EXTRACTION	-1		0.79	0.21							OIL	3.0	0.30	0.0028					OIL		
CONT_SUBSURFACE_COAL_MINING	TXT_COAL_MINING	CONT_SUBSURFACE_MINES	CONT_SUBSURFACE	EXTRACTION	-1		0.77	0.23							COAL	8.6	0.65	0.013					COAL		
CONT_SUBSURFACE_IRON_MINING	TXT_IRON_MINING	CONT_SUBSURFACE_MINES	CONT_SUBSURFACE	EXTRACTION	-1		0.77	0.23							IRON_NICKEL;IRON_ORES	6.8	0.92	0.0026					IRON_NICKEL;IRON_ORES		
CONT_SUBSURFACE_ALUMINIUM_MINING	TXT_ALUMINIUM_MINING	CONT_SUBSURFACE_MINES	CONT_SUBSURFACE	EXTRACTION	-1		0.75	0.25							ALUMINIUM_ORES	11.4	0.99	0.0011					ALUMINIUM_ORES		
CONT_SUBSURFACE_INDUST_METALS_MINING	TXT_INDUST_METALS_MINING	CONT_SUBSURFACE_MINES	CONT_SUBSURFACE	EXTRACTION	-1		0.79	0.21							INDUST_METAL_ORES	4.9	1.1	0.014					INDUST_METAL_ORES		
CONT_SUBSURFACE_PRECIOUS_METALS_MINING	TXT_PRECIOUS_METALS_MINING	CONT_SUBSURFACE_MINES	CONT_SUBSURFACE	EXTRACTION	-1		0.82	0.18							PRECIOUS_METAL_ORES	3.1	0.86	0.0021					PRECIOUS_METAL_ORES		
CONT_SUBSURFACE_URANIUM_MINING	TXT_URANIUM_MINING	CONT_SUBSURFACE_MINES	CONT_SUBSURFACE	EXTRACTION	-1		0.82	0.18							URANIUM_ORES	3.1	0.86	0.0025					URANIUM_ORES		
CONT_SUBSURFACE_RARE_EARTHS_MINING	TXT_RARE_EARTHS_MINING	CONT_SUBSURFACE_MINES	CONT_SUBSURFACE	EXTRACTION	-1		0.81	0.19							RARE_EARTH_ORES	3.9	0.87	0.0037					RARE_EARTH_ORES		
CONT_SUBSURFACE_SULFUR_MINING	TXT_SULFUR_MINING	CONT_SUBSURFACE_MINES	CONT_SUBSURFACE	EXTRACTION	-1		0.75	0.25							SULFUR	9.3	0.59	0.0026					SULFUR		
CONT_SUBSURFACE_ORGANICS_MINING	TXT_ORGANICS_MINING	CONT_SUBSURFACE_MINES	CONT_SUBSURFACE	EXTRACTION	-1		0.78	0.22							ORGANICS_THOLINS	6.6	0.73	0.15					ORGANICS_THOLINS		
CONT_SUBSURFACE_INDUST_MINERALS_MINING	TXT_INDUST_MINERALS_MINING	CONT_SUBSURFACE_MINES	CONT_SUBSURFACE	EXTRACTION	-1		0.75	0.25							INDUST_MINERALS	9.1	0.79	0.67					INDUST_MINERALS		
CONT_DEEP_SUBSURFACE_GAS_DRILLING	TXT_GAS_DRILLING	CONT_DEEP_SUBSURFACE_DRILLING_RIGS	CONT_DEEP_SUBSURFACE	EXTRACTION	-1		0.86	0.14							METHANE;ETHANE;HELIUM	1.4	0.20	0.0011					METHANE; ETHANE; HELIUM		
CONT_DEEP_SUBSURFACE_OIL_DRILLING	TXT_OIL_DRILLING	CONT_DEEP_SUBSURFACE_DRILLING_RIGS	CONT_DEEP_SUBSURFACE	EXTRACTION	-1		0.87	0.13							OIL	1.1	0.20	0.003					OIL		
CONT_DEEP_SUBSURFACE_COAL_MINING	TXT_COAL_MINING	CONT_DEEP_SUBSURFACE_MINES	CONT_DEEP_SUBSURFACE	EXTRACTION	-1		0.85	0.15							COAL	3.5	0.22	0.0071					COAL		
CONT_DEEP_SUBSURFACE_IRON_MINING	TXT_IRON_MINING	CONT_DEEP_SUBSURFACE_MINES	CONT_DEEP_SUBSURFACE	EXTRACTION	-1		0.85	0.15							IRON_NICKEL;IRON_ORES	2.6	0.29	0.0014					IRON_NICKEL;IRON_ORES		
CONT_DEEP_SUBSURFACE_ALUMINIUM_MINING	TXT_ALUMINIUM_MINING	CONT_DEEP_SUBSURFACE_MINES	CONT_DEEP_SUBSURFACE	EXTRACTION	-1		0.84	0.16							ALUMINIUM_ORES	4.2	0.32	0.00054					ALUMINIUM_ORES		
CONT_DEEP_SUBSURFACE_INDUST_METALS_MINING	TXT_INDUST_METALS_MINING	CONT_DEEP_SUBSURFACE_MINES	CONT_DEEP_SUBSURFACE	EXTRACTION	-1		0.87	0.13							INDUST_METAL_ORES	2.1	0.36	0.008					INDUST_METAL_ORES		
CONT_DEEP_SUBSURFACE_PRECIOUS_METALS_MINING	TXT_PRECIOUS_METALS_MINING	CONT_DEEP_SUBSURFACE_MINES	CONT_DEEP_SUBSURFACE	EXTRACTION	-1		0.89	0.11							PRECIOUS_METAL_ORES	1.3	0.32	0.0012					PRECIOUS_METAL_ORES		
CONT_DEEP_SUBSURFACE_URANIUM_MINING	TXT_URANIUM_MINING	CONT_DEEP_SUBSURFACE_MINES	CONT_DEEP_SUBSURFACE	EXTRACTION	-1		0.89	0.11							URANIUM_ORES	1.3	0.32	0.0014					URANIUM_ORES		
CONT_DEEP_SUBSURFACE_RARE_EARTHS_MINING	TXT_RARE_EARTHS_MINING	CONT_DEEP_SUBSURFACE_MINES	CONT_DEEP_SUBSURFACE	EXTRACTION	-1		0.88	0.12							RARE_EARTH_ORES	1.7	0.31	0.0022					RARE_EARTH_ORES		
CONT_DEEP_SUBSURFACE_SULFUR_MINING	TXT_SULFUR_MINING	CONT_DEEP_SUBSURFACE_MINES	CONT_DEEP_SUBSURFACE	EXTRACTION	-1		0.84	0.16							SULFUR	3.7	0.20	0.0014					SULFUR		
CONT_DEEP_SUBSURFACE_ORGANICS_MINING	TXT_ORGANICS_MINING	CONT_DEEP_SUBSURFACE_MINES	CONT_DEEP_SUBSURFACE	EXTRACTION	-1		0.86	0.14							ORGANICS_THOLINS	2.6	0.22	0.20					ORGANICS_THOLINS		
CONT_DEEP_SUBSURFACE_INDUST_MINERALS_MINING	TXT_INDUST_MINERALS_MINING	CONT_DEEP_SUBSURFACE_MINES	CONT_DEEP_SUBSURFACE	EXTRACTION	-1		0.84	0.16							INDUST_MINERALS	3.7	0.28	0.37					INDUST_MINERALS		
CONT_EXTREME_SUBSURFACE_GAS_DRILLING	TXT_GAS_DRILLING	CONT_EXTREME_SUBSURFACE_DRILLING_RIGS	CONT_EXTREME_SUBSURFACE	EXTRACTION	-1		0.90	0.10							METHANE;ETHANE;HELIUM	0.50	0.10	0.0015					METHANE; ETHANE; HELIUM		
OIL_REFINING		OIL_REFINERIES		CONVERSION	-0.10		0.0100	0.90	0	1									OIL;HYDROGEN	0.979;0.021	LIQ_HYDROCARBONS;METHANE;CARBON;SULFUR;INDUST_WASTE	0.881;0.050;0.040;0.014;0.015	LIQ_HYDROCARBONS;METHANE;CARBON;SULFUR		
IRON_NICKEL_REFINING		IRON_NICKEL_REFINERIES		CONVERSION	-0.35		0.0525	0.85	0	1									IRON_NICKEL	1	IRON;INDUST_METALS;SULFUR;INDUST_WASTE	0.910;0.086;0.002;0.002	IRON;INDUST_METALS;SULFUR		
IRON_ORE_SMELTING		STEEL_MILLS		CONVERSION	-0.0892		0.0134	0.85	0	2.231									IRON_ORES;CARBON;OXYGEN	1.417;0.344;0.471	IRON;CARBON_DIOXIDE;INDUST_WASTE	0.832;1.071;0.328	IRON		CARBON_DIOXIDE
BASIC_O2_STEELMAKING		STEEL_MILLS		CONVERSION	-0.03		0.00360	0.88	0	1									IRON;OXYGEN;INDUST_MINERALS;INDUST_METALS	0.832;0.093;0.063;0.012	STEEL;CARBON_DIOXIDE;INDUST_WASTE	0.793;0.113;0.094	STEEL		CARBON_DIOXIDE
H2_REDUCTION_STEELMAKING		STEEL_MILLS		CONVERSION	-0.356		0.0534	0.85	0	1.482									IRON_ORES;HYDROGEN;INDUST_METALS;CARBON	1.426;0.0415;0.0119;0.00296	STEEL;WATER;INDUST_WASTE	0.793;0.378;0.311	STEEL		
ELECTRIC_STEELMAKING		STEEL_MILLS		CONVERSION	-0.40		0.0800	0.80	0	1									IRON;OXYGEN;INDUST_MINERALS;INDUST_METALS	0.832;0.093;0.063;0.012	STEEL;CARBON_DIOXIDE;INDUST_WASTE	0.793;0.113;0.094	STEEL		CARBON_DIOXIDE
SOLAR_STEELMAKING		SOLAR_FURNACES		CONVERSION	-0.02	1.50	0.456	0.70	1.50	1									IRON_ORES;CARBON;INDUST_METALS	0.840;0.150;0.010	STEEL;CARBON_MONOXIDE;INDUST_WASTE	0.479;0.346;0.175	STEEL		
ALUMINIUM_REFINING		ALUMINIUM_SMELTERS		CONVERSION	-2.80		0.420	0.85	0	1									ALUMINIUM_ORES;CARBON	0.938;0.062	ALUMINIUM;CARBON_DIOXIDE;INDUST_WASTE	0.186;0.227;0.587	ALUMINIUM		CARBON_DIOXIDE
INDUST_METALS_REFINING		INDUST_METALS_SMELTERS		CONVERSION	-0.65		0.117	0.82	0	1									INDUST_METAL_ORES;CARBON;OXYGEN	0.890;0.060;0.050	INDUST_METALS;IRON;SULFUR;CARBON_MONOXIDE;INDUST_WASTE	0.242;0.133;0.089;0.142;0.394	INDUST_METALS;IRON;SULFUR		
PRECIOUS_METALS_REFINING		PRECIOUS_METALS_REFINERIES		CONVERSION	-0.5		0.0750	0.85	0	1									PRECIOUS_METAL_ORES	1	PRECIOUS_METALS;INDUST_WASTE	8.70e-4;0.999	PRECIOUS_METALS		
RARE_EARTHS_REFINING		RARE_EARTHS_REFINERIES		CONVERSION	-1.50		0.300	0.80	0	1									RARE_EARTH_ORES;INDUST_CHEMICALS	0.970;0.030	RARE_EARTHS;THORIUM;INDUST_WASTE	0.413;0.004;0.583	RARE_EARTHS;THORIUM		
URANIUM_REFINING		URANIUM_PROCESSING_PLANTS		CONVERSION	-0.05		0.00750	0.85	0	1									URANIUM_ORES;INDUST_CHEMICALS	0.971;0.029	URANIUM;INDUST_METALS;THORIUM;INDUST_WASTE	0.086;0.006;0.002;0.906	URANIUM;INDUST_METALS;THORIUM		
REGOLITH_PROCESSING		REGOLITH_PROCESSING_PLANTS		CONVERSION	-5.00		1.50	0.70	0	1									REGOLITH	1	OXYGEN;IRON;ALUMINIUM;INDUST_WASTE	0.440;0.110;0.070;0.380	OXYGEN;IRON;ALUMINIUM		
DEUTERIUM_PURIFICATION		ISOTOPE_SEPARATION_PLANTS		CONVERSION	-100		20.0	0.80	0	1									WATER	1	DEUTERIUM;OXYGEN	0.2;0.8	DEUTERIUM		
MUNICIPAL_RECYC_INCINERATION		RECYC_CENTERS		CONVERSION	0.24		0.0800	0.75	0.320	1									MUNICIPAL_WASTE;OXYGEN	0.478;0.522	STEEL;ALUMINIUM;POLYMERS;CARBON_DIOXIDE;WATER;INDUST_WASTE	0.031;0.012;0.029;0.613;0.172;0.143	STEEL;ALUMINIUM;POLYMERS		CARBON_DIOXIDE
INDUST_RECYC_INCINERATION		INDUST_RECYC_FACILITIES		CONVERSION	-0.30		0.0600	0.80	0	1									INDUST_WASTE;OXYGEN	0.990;0.010	STEEL;INDUST_METALS;REGOLITH;CARBON_DIOXIDE	0.178;0.020;0.782;0.020	STEEL;INDUST_METALS		CARBON_DIOXIDE
URANIUM_FUEL_REPROCESSING		NUCLEAR_FUEL_REPROCESSING_PLANTS		CONVERSION	-0.12		0.0180	0.85	0	1									SPENT_URANIUM_FUEL;INDUST_CHEMICALS;INDUST_MINERALS	0.415;0.136;0.449	URANIUM;RADIOACTIVE_WASTE;WATER	0.404;0.551;0.045	URANIUM		
THORIUM_FUEL_REPROCESSING		NUCLEAR_FUEL_REPROCESSING_PLANTS		CONVERSION	-0.0635		0.00953	0.85	0	0.635									SPENT_THORIUM_FUEL;INDUST_CHEMICALS;INDUST_MINERALS	0.415;0.00508;0.215	THORIUM;URANIUM;RADIOACTIVE_WASTE;WATER	0.309;0.0133;0.309;0.00381	THORIUM;URANIUM		
WATER_ELECTROLYSIS		ELECTROLYSIS_PLANTS		CONVERSION	-5.50		1.10	0.80	0	1									WATER	1	HYDROGEN;OXYGEN	0.112;0.888	HYDROGEN;OXYGEN		
CO2_ELECTROLYSIS		ELECTROLYSIS_PLANTS		CONVERSION	-5.50		1.375	0.75	0	2.311									CARBON_DIOXIDE	2.311	CARBON_MONOXIDE;OXYGEN	1.470;0.841	CARBON_MONOXIDE;OXYGEN		
CO2_METHANATION		CATALYTIC_REACTOR_PLANTS		CONVERSION	-1.50		0.225	0.85	0	16.67									CARBON_DIOXIDE;HYDROGEN	14.09;2.584	METHANE;WATER	5.134;11.54	METHANE		
STEAM_METHANE_REFORMING		CATALYTIC_REACTOR_PLANTS		CONVERSION	-1.50		0.375	0.75	0	0.667									METHANE;WATER	0.314;0.353	CARBON_MONOXIDE;HYDROGEN	0.548;0.119	CARBON_MONOXIDE;HYDROGEN		
WATER_GAS_SHIFT		CATALYTIC_REACTOR_PLANTS		CONVERSION	-1.50		0.225	0.85	0	30.0									CARBON_MONOXIDE;WATER	18.27;11.73	CARBON_DIOXIDE;HYDROGEN	28.68;1.320	HYDROGEN		
REVERSE_WATER_GAS_SHIFT		CATALYTIC_REACTOR_PLANTS		CONVERSION	-1.50		0.375	0.75	0	4.545									CARBON_DIOXIDE;HYDROGEN	4.345;0.200	CARBON_MONOXIDE;WATER	2.768;1.777	CARBON_MONOXIDE		
CO2_METHANOL_SYNTH		CATALYTIC_REACTOR_PLANTS		CONVERSION	-1.50		0.300	0.80	0	18.75									CARBON_DIOXIDE;HYDROGEN	16.48;2.269	METHANOL;WATER	12.00;6.750	METHANOL		
CO_METHANOL_SYNTH		CATALYTIC_REACTOR_PLANTS		CONVERSION	-1.50		0.225	0.85	0	25.0									CARBON_MONOXIDE;HYDROGEN	21.85;3.150	METHANOL	25.0	METHANOL		
