OPERATION_\FACILITY_	PLANET_EARTH_USA	PLANET_EARTH_RUSSIA	PLANET_EARTH_CHINA	PLANET_EARTH_EU	PLANET_EARTH_INDIA	PLANET_EARTH_JAPAN	PLANET_EARTH_OTHER	PLANET_EARTH_NASA	PLANET_EARTH_ROSCOSMOS	PLANET_EARTH_CNSA	PLANET_EARTH_ESA	PLANET_EARTH_ISRO	PLANET_EARTH_JAXA	SPACECRAFT_ISS_NASA	SPACECRAFT_ISS_ROSCOSMOS	SPACECRAFT_ISS_ESA	SPACECRAFT_ISS_JAXA	SPACECRAFT_TIANGONG_CNSA
ORGANICS_MINING_CONT_SUBSURFACE		690;0;0	690;0;0	690;0;0			690;0;0											
INDUST_MINERALS_MINING_CONT_SUBSURFACE	690;0;0	690;0;0	690;0;0	690;0;0	690;0;0	690;0;0	690;0;0											
GAS_DRILLING_CONT_DEEP_SUBSURFACE	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0											
OIL_DRILLING_CONT_DEEP_SUBSURFACE	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0	800;0;0											
COAL_MINING_CONT_DEEP_SUBSURFACE	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0		650;0;0											
IRON_MINING_CONT_DEEP_SUBSURFACE		650;0;0	650;0;0	650;0;0														
ALUMINIUM_MINING_CONT_DEEP_SUBSURFACE																		
INDUST_METALS_MINING_CONT_DEEP_SUBSURFACE	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0		650;0;0											
PRECIOUS_METALS_MINING_CONT_DEEP_SUBSURFACE	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0		650;0;0											
URANIUM_MINING_CONT_DEEP_SUBSURFACE	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0		650;0;0											
RARE_EARTHS_MINING_CONT_DEEP_SUBSURFACE																		
SULFUR_MINING_CONT_DEEP_SUBSURFACE																		
ORGANICS_MINING_CONT_DEEP_SUBSURFACE																		
INDUST_MINERALS_MINING_CONT_DEEP_SUBSURFACE																		
GAS_DRILLING_CONT_EXTREME_SUBSURFACE	750;0;0	750;0;0	750;0;0	750;0;0	750;0;0		750;0;0											
OIL_REFINING																		
IRON_NICKEL_REFINING																		
IRON_ORE_SMELTING																		
BASIC_O2_STEELMAKING																		
H2_REDUCTION_STEELMAKING																		
ELECTRIC_STEELMAKING																		
SOLAR_STEELMAKING																		
ALUMINIUM_REFINING																		
INDUST_METALS_REFINING																		
PRECIOUS_METALS_REFINING																		
RARE_EARTHS_REFINING																		
URANIUM_REFINING																		
REGOLITH_PROCESSING																		
DEUTERIUM_PURIFICATION																		
MUNICIPAL_RECYC_INCINERATION																		
INDUST_RECYC_INCINERATION																		
URANIUM_FUEL_REPROCESSING																		
THORIUM_FUEL_REPROCESSING																		
WATER_ELECTROLYSIS																		
CO2_ELECTROLYSIS																		
CO2_METHANATION																		
STEAM_METHANE_REFORMING																		
WATER_GAS_SHIFT																		
REVERSE_WATER_GAS_SHIFT																		
CO2_METHANOL_SYNTH																		
CO_METHANOL_SYNTH																		
LIQ_HYDROCARBONS_SYNTH																		
AMMONIA_SYNTH																		
COAL_GASIFICATION																		
BIOMASS_GASIFICATION																		
METHANE_PYROLYSIS																		
COAL_CARBONIZATION																		
BIOMASS_CARBONIZATION																		
POLYMER_SYNTH																		
INDUST_CHEMICALS_SYNTH																		
FINE_CHEMICALS_SYNTH																		
CONCRETE_PRODUCTION																		
GLASS_CERAMICS_PRODUCTION																		
SEMICONDUCTOR_PRODUCTION																		
COMPOSITE_PRODUCTION																		
SOLID_FUEL_PRODUCTION																		
FERTILIZER_PRODUCTION																		
CONSTRUCTION																		
SPACE_YARDS_ASSEMBLY																		
TRANSPORT_MANUF																		
STEEL_STRUCTURES_MANUF																		
ALUMINIUM_STRUCTURES_MANUF																		
COMPOSITE_STRUCTURES_MANUF																		
TECHNICAL_TEXTILES_FAB																		
SOLAR_PANEL_MANUF																		
BATTERY_MANUF																		
LEU_FUEL_MANUF																		
HEU_FUEL_MANUF																		
THORIUM_FUEL_MANUF																		
HEAVY_MACHINERY_MANUF																		
ELECTRICAL_EQUIP_MANUF																		
PRECISION_EQUIP_MANUF																		
ELECTRONICS_MANUF																		
ROBOTICS_MANUF																		
TENSOR_PROCESSOR_FAB																		
NEUROMORPHIC_PROCESSOR_FAB																		
CONSUMER_GOODS_MANUF																		
SPECIALTY_GOODS_MANUF																		
CREW_LIFE_SUPPORT																		
URBAN_OPERATIONS																		
OPEN_AGRICULTURE																		
CONTROLLED_ENV_AGRICULTURE																		
OPEN_AQUACULTURE																		
CONTROLLED_ENV_AQUACULTURE																		
ALGACULTURE																		
CELLULAR_AGRICULTURE																		
COMMERCIAL_FISHING	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0											
OPEN_FORESTRY	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0	650;0;0											
ARTISANAL_FARMING																		
ARTISANAL_CRAFTING																		
FOOD_PROCESSING_PACKAGING																		
PHARMACEUTICALS_SYNTH																		
SOIL_CONDITIONING																		
BIOMASS_LIQUEFACTION																		
ETHANOL_FERMENTATION																		
INDUST_FERMENTATION																		
BIOGAS_PRODUCTION																		
BIOWASTE_TREATMENT																		
@ENTITY_X_ENTITY																		
@DATA_TYPE=ARRAY[INT]																		
@TRANSPOSE																		
# transposed on import to:																		
# table[facility_type][operation_type]																		
