FACILITY_\RESOURCE_	ELECTRICITY	HYDROGEN	METHANE	METHANOL	ETHANOL	LIQ_HYDROCARBONS	SOLID_FUELS	COAL	OIL	LE_URANIUM_FUEL	HE_URANIUM_FUEL	THORIUM_FUEL	DEUTERIUM	HELIUM_3	SPENT_URANIUM_FUEL	SPENT_THORIUM_FUEL	IRON_NICKEL	IRON_ORES	ALUMINIUM_ORES	INDUST_METAL_ORES	PRECIOUS_METAL_ORES	RARE_EARTH_ORES	URANIUM_ORES	SULFUR	ORGANICS_THOLINS	INDUST_MINERALS	STONE	REGOLITH	WATER	OXYGEN	NITROGEN	CARBON_DIOXIDE	CARBON_MONOXIDE	AMMONIA	ETHANE	SULFUR_DIOXIDE	HELIUM	ARGON	HEAVY_NOBLE_GASES	INDUST_CHEMICALS	FINE_CHEMICALS	IRON	STEEL	ALUMINIUM	INDUST_METALS	PRECIOUS_METALS	RARE_EARTHS	URANIUM	THORIUM	CARBON	CONCRETE	GLASS_CERAMICS	SEMICONDUCTOR_MAT	POLYMERS	COMPOSITES	TECHNICAL_TEXTILES	MUNICIPAL_WASTE	INDUST_WASTE	RADIOACTIVE_WASTE	STEEL_STRUCTURES	ALUMINIUM_STRUCTURES	COMPOSITE_STRUCTURES	HEAVY_MACHINERY	ELECTRICAL_EQUIPMENT	PRECISION_EQUIPMENT	ELECTRONICS	TENSOR_PROCESSORS	NEUROMORPHIC_PROCESSORS	TRANSPORT_SYSTEMS	ROBOTICS	SOLAR_PANELS	BATTERIES	CONSUMER_GOODS	SPECIALTY_GOODS	CROP_PROD	ANIMAL_PROD	PACKAGED_MEALS	ARTISANAL_FOODS	ARTISANAL_GOODS	BIOFIBERS	LUMBER_WOOD_PROD	ALGAL_MICROBIAL_PROD	BIOFEEDSTOCK	BIOCHEMICALS	PHARMACEUTICALS	FERTILIZERS	SOIL_GROWTH_MEDIA	BIOWASTE
PLANET_EARTH_PLAYER_ESA																																																																																								
PLANET_EARTH_PLAYER_ISRO																																																																																								
PLANET_EARTH_PLAYER_JAXA																																																																																								
SPACECRAFT_ISS_PLAYER_NASA																																																																																								
SPACECRAFT_ISS_PLAYER_ROSCOSMOS																																																																																								
SPACECRAFT_ISS_PLAYER_ESA																																																																																								
SPACECRAFT_ISS_PLAYER_JAXA																																																																																								
SPACECRAFT_TIANGONG_PLAYER_CNSA																																																																																								
@ENTITY_X_ENTITY																																																																																								
@DATA_TYPE=FLOAT																																																																																								
@DATA_UNIT=t																																																																																								
@DATA_DEFAULT=0																																																																																								
# ->inventory.reserves																																																																																								
# table[facility_type][resource_type]																																																																																								
