STRATUM_\RESOURCE_	IRON_NICKEL	IRON_ORES	ALUMINIUM_ORES	INDUST_METAL_ORES	PRECIOUS_METAL_ORES	RARE_EARTH_ORES	URANIUM_ORES	SULFUR	ORGANICS_THOLINS	INDUST_MINERALS	COAL	OIL	STONE	REGOLITH	WATER	HYDROGEN	OXYGEN	NITROGEN	CARBON_DIOXIDE	CARBON_MONOXIDE	AMMONIA	METHANE	ETHANE	SULFUR_DIOXIDE	HELIUM	HELIUM_3	ARGON	HEAVY_NOBLE_GASES	WILD_FISHERIES	TIMBER
PLANET_EARTH_OTHER_CONT_SURFACE		0.015,0.35,1.95,0.45	0.008,0.4,1.9,0.44	0.025,0.35,2.15,0.5	0.001,0.45,2.65,0.44	0.003,0.45,2.56,0.68	0.0015,0.5,2.6,0.47	0.02,0.4,2.06,0.52	0.06,0.4,1.86,0.43	5.0,0.2,1.29,0.29	0.01,0.4,2.86,0.48	0.003,0.5,2.42,0.54	63.0,0.08,0.25,0.08	27.5,0.12,0.3,0.12	4.4,0.2,2.0,0.3							0.003,0.5,2.2,0.59								0.002,0.3,2.9,0.3
PLANET_EARTH_USA_CONT_SHELF		0.1,0.35,1.3,0.3	0.02,0.4,1.3,0.3	0.05,0.35,1.5,0.35	2e-4,0.5,2.0,0.45	0.02,0.45,1.5,0.35	3e-4,0.5,1.5,0.35	0.05,0.35,1.0,0.25	0.8,0.3,1.0,0.25	5,0.18,0.8,0.15	0.003,0.55,2.0,0.45	4e-4,0.5,2.0,0.45	41.0,0.08,0.3,0.08	35.9,0.1,0.3,0.08	17,0.1,0.15,0.05	5e-6,0.5,1.0,0.4	3e-4,0.15,0.15,0.08	0.002,0.2,0.2,0.1	0.003,0.25,0.3,0.12		5e-5,0.5,0.3,0.15	0.005,0.45,1.5,0.4	3e-4,0.5,1.5,0.4		1e-6,0.5,1.5,0.5	3e-14,0.7,1.5,0.5	3e-5,0.15,0.1,0.05			
PLANET_EARTH_CHINA_CONT_SHELF		0.15,0.4,1.3,0.35	0.03,0.45,1.3,0.35	0.08,0.4,1.5,0.35	1.5e-4,0.55,2.0,0.5	0.05,0.4,1.5,0.35	3e-4,0.55,1.5,0.4	0.04,0.4,1.0,0.3	0.9,0.35,1.0,0.3	5,0.2,0.8,0.18	0.002,0.6,2.0,0.5	5e-4,0.55,2.0,0.5	39.9,0.1,0.3,0.1	36.8,0.12,0.3,0.1	17,0.12,0.15,0.06	5e-6,0.5,1.0,0.4	3e-4,0.15,0.15,0.08	0.002,0.2,0.2,0.1	0.003,0.3,0.3,0.15		5e-5,0.5,0.3,0.15	0.008,0.5,1.5,0.45	5e-4,0.55,1.5,0.45		1e-6,0.55,1.5,0.5	3e-14,0.7,1.5,0.5	3e-5,0.15,0.1,0.05			
PLANET_EARTH_EU_CONT_SHELF		0.06,0.3,1.3,0.25	0.015,0.35,1.3,0.3	0.03,0.3,1.5,0.3	1e-4,0.45,2.0,0.4	0.015,0.4,1.5,0.35	2e-4,0.45,1.5,0.35	0.04,0.3,1.0,0.25	0.7,0.25,1.0,0.25	5.5,0.15,0.8,0.15	0.005,0.4,2.0,0.4	5e-4,0.4,2.0,0.4	41.9,0.06,0.3,0.06	34.7,0.08,0.3,0.08	17,0.08,0.15,0.05	5e-6,0.5,1.0,0.4	3e-4,0.12,0.15,0.08	0.002,0.15,0.2,0.1	0.003,0.25,0.3,0.12		5e-5,0.5,0.3,0.15	0.004,0.4,1.5,0.35	2e-4,0.45,1.5,0.4		1e-6,0.5,1.5,0.5	3e-14,0.7,1.5,0.5	3e-5,0.12,0.1,0.05			
PLANET_EARTH_RUSSIA_CONT_SHELF		0.12,0.45,1.3,0.4	0.02,0.5,1.3,0.4	0.06,0.45,1.5,0.4	3e-4,0.55,2.0,0.5	0.02,0.5,1.5,0.4	4e-4,0.5,1.5,0.4	0.05,0.4,1.0,0.3	1.2,0.35,1.0,0.3	4.5,0.22,0.8,0.2	0.002,0.6,2.0,0.5	3e-4,0.55,2.0,0.5	39.0,0.1,0.3,0.1	38.0,0.12,0.3,0.1	17,0.12,0.15,0.06	1e-5,0.5,1.0,0.4	3e-4,0.2,0.15,0.08	0.003,0.25,0.2,0.12	0.004,0.3,0.3,0.15		1e-4,0.5,0.3,0.15	0.01,0.45,1.5,0.45	8e-4,0.5,1.5,0.45		2e-6,0.5,1.5,0.5	6e-14,0.7,1.5,0.5	5e-5,0.2,0.1,0.05			
PLANET_EARTH_INDIA_CONT_SHELF		0.2,0.35,1.3,0.3	0.03,0.4,1.3,0.35	0.08,0.4,1.5,0.35	1e-4,0.55,2.0,0.5	0.05,0.35,1.5,0.3	2e-4,0.55,1.5,0.4	0.03,0.4,1.0,0.3	0.6,0.35,1.0,0.3	4.5,0.22,0.8,0.18	0.001,0.6,2.0,0.5	3e-4,0.55,2.0,0.5	40.8,0.1,0.3,0.1	36.7,0.12,0.3,0.1	17,0.12,0.15,0.06	5e-6,0.5,1.0,0.4	3e-4,0.15,0.15,0.08	0.002,0.2,0.2,0.1	0.003,0.3,0.3,0.15		5e-5,0.5,0.3,0.15	0.004,0.5,1.5,0.4	2e-4,0.55,1.5,0.45		5e-7,0.55,1.5,0.5	2e-14,0.7,1.5,0.5	3e-5,0.15,0.1,0.05			
PLANET_EARTH_JAPAN_CONT_SHELF		0.03,0.35,1.3,0.3	0.01,0.45,1.3,0.35	0.02,0.4,1.5,0.35	5e-5,0.5,2.0,0.45	0.01,0.45,1.5,0.4	1e-4,0.5,1.5,0.4	0.05,0.35,1.0,0.3	0.5,0.35,1.0,0.3	4.5,0.18,0.8,0.15	0.001,0.6,2.0,0.5	1e-4,0.55,2.0,0.5	43.0,0.07,0.3,0.07	34.8,0.1,0.3,0.08	17,0.1,0.15,0.05	5e-6,0.5,1.0,0.4	3e-4,0.15,0.15,0.08	0.002,0.2,0.2,0.1	0.003,0.3,0.3,0.15		5e-5,0.5,0.3,0.15	0.02,0.4,1.5,0.35	5e-4,0.5,1.5,0.4		3e-7,0.6,1.5,0.5	9e-15,0.8,1.5,0.5	3e-5,0.15,0.1,0.05			
PLANET_EARTH_ANTARCTICA_CONT_SHELF		0.1,0.7,1.3,0.6	0.02,0.8,1.3,0.6	0.05,0.7,1.5,0.6	2e-4,0.8,2.0,0.7	0.02,0.8,1.5,0.6	3e-4,0.8,1.5,0.6	0.04,0.7,1.0,0.5	0.7,0.6,1.0,0.5	4.5,0.5,0.8,0.4	0.001,0.8,2.0,0.7	1e-4,0.8,2.0,0.7	40.8,0.2,0.3,0.15	36.7,0.2,0.3,0.15	17,0.2,0.15,0.1	5e-6,0.7,1.0,0.5	3e-4,0.3,0.15,0.1	0.002,0.3,0.2,0.15	0.003,0.5,0.3,0.2		5e-5,0.7,0.3,0.2	0.003,0.7,1.5,0.6	2e-4,0.7,1.5,0.6		5e-7,0.8,1.5,0.6	2e-14,0.9,1.5,0.6	3e-5,0.3,0.1,0.08			
PLANET_EARTH_OTHER_CONT_SHELF		0.15,0.4,1.3,0.35	0.03,0.45,1.3,0.35	0.08,0.4,1.5,0.4	3e-4,0.55,2.0,0.5	0.03,0.45,1.5,0.4	3e-4,0.55,1.5,0.4	0.05,0.4,1.0,0.3	1.0,0.35,1.0,0.3	5,0.22,0.8,0.2	0.002,0.6,2.0,0.5	5e-4,0.5,2.0,0.45	39.9,0.1,0.3,0.1	36.8,0.12,0.3,0.1	17,0.12,0.15,0.06	1e-5,0.5,1.0,0.4	3e-4,0.2,0.15,0.08	0.002,0.2,0.2,0.1	0.003,0.3,0.3,0.15		5e-5,0.5,0.3,0.15	0.006,0.5,1.5,0.45	4e-4,0.5,1.5,0.45		2e-6,0.5,1.5,0.5	6e-14,0.7,1.5,0.5	3e-5,0.15,0.1,0.05			
PLANET_EARTH_USA_CONT_NEAR_SURFACE		0.005,0.25,1.5,0.25	0.002,0.35,1.5,0.3	0.008,0.3,1.8,0.25	2.5e-4,0.4,2.8,0.3	0.001,0.4,2.0,0.3	5e-4,0.4,2.6,0.3	0.01,0.3,1.2,0.25	0.3,0.3,1.3,0.25	7,0.15,0.8,0.12	0.008,0.3,2.1,0.25	8e-4,0.4,2.4,0.35	78.4,0.05,0.22,0.05	10.7,0.12,0.4,0.1	3.5,0.2,0.55,0.1							0.001,0.4,2.0,0.3	2e-5,0.45,2.0,0.3		2e-6,0.5,2.0,0.5	6e-14,0.7,2.0,0.5				
PLANET_EARTH_CHINA_CONT_NEAR_SURFACE		0.008,0.3,1.5,0.3	0.003,0.35,1.5,0.35	0.015,0.3,1.8,0.3	2e-4,0.45,2.8,0.35	0.004,0.3,2.0,0.3	5e-4,0.45,2.6,0.35	0.01,0.35,1.2,0.3	0.25,0.35,1.3,0.3	7,0.18,0.8,0.15	0.01,0.3,2.1,0.3	0.0003,0.45,2.64,0.44	78.4,0.06,0.22,0.06	10.7,0.15,0.4,0.12	3.5,0.22,0.55,0.12							8e-4,0.45,2.0,0.35	1.5e-5,0.5,2.0,0.35		1e-6,0.55,2.0,0.5	3e-14,0.7,2.0,0.5				
PLANET_EARTH_EU_CONT_NEAR_SURFACE		0.003,0.2,1.5,0.2	0.0015,0.3,1.5,0.25	0.008,0.25,1.8,0.2	0.00015,0.35,2.63,0.28	8e-4,0.35,2.0,0.3	0.0003,0.35,2.46,0.28	0.008,0.3,1.2,0.2	0.2,0.3,1.3,0.2	8,0.12,0.8,0.1	0.004,0.25,2.1,0.2	3e-4,0.35,2.4,0.35	77.6,0.04,0.22,0.04	10.6,0.1,0.4,0.08	3.5,0.18,0.55,0.1							8e-4,0.35,2.0,0.25	1.5e-5,0.4,2.0,0.3		1e-6,0.5,2.0,0.5	3e-14,0.7,2.0,0.5				
PLANET_EARTH_RUSSIA_CONT_NEAR_SURFACE		0.01,0.3,1.5,0.3	0.002,0.35,1.77,0.35	0.015,0.3,1.95,0.32	3.5e-4,0.4,2.8,0.35	0.0015,0.4,2.44,0.43	8e-4,0.4,2.6,0.35	0.01,0.35,1.49,0.31	0.4,0.35,1.3,0.3	6.5,0.18,0.97,0.18	0.008,0.3,2.26,0.32	8e-4,0.4,2.4,0.35	78.7,0.06,0.22,0.06	10.8,0.15,0.4,0.12	3.5,0.25,0.55,0.12							0.002,0.4,2.0,0.3	1e-4,0.45,2.0,0.35		3e-6,0.5,2.0,0.5	9e-14,0.7,2.0,0.5				
PLANET_EARTH_INDIA_CONT_NEAR_SURFACE		0.01,0.3,1.5,0.3	0.003,0.35,1.5,0.3	0.008,0.35,2.22,0.37	0.00015,0.45,3.16,0.45	0.0015,0.4,2.44,0.43	0.00025,0.5,3.0,0.46	0.008,0.35,1.59,0.4	0.2,0.4,1.66,0.38	7,0.2,0.8,0.15	0.006,0.35,2.39,0.34	0.00025,0.45,3.05,0.51	78.5,0.07,0.22,0.07	10.7,0.15,0.4,0.12	3.5,0.25,0.55,0.12							0.0006,0.45,2.51,0.44	1e-05,0.5,2.51,0.5		5e-07,0.55,2.51,0.63	2e-14,0.7,2.0,0.5				
PLANET_EARTH_JAPAN_CONT_NEAR_SURFACE		0.001,0.3,2.17,0.36	0.0005,0.4,2.11,0.49	0.002,0.35,2.51,0.42	0.0001,0.4,2.97,0.37	0.0005,0.4,2.59,0.45	0.0002,0.45,2.76,0.37	0.008,0.3,1.41,0.29	0.15,0.35,1.58,0.36	7,0.15,0.8,0.12	0.0015,0.35,2.66,0.38	8e-05,0.45,3.15,0.53	78.7,0.05,0.22,0.05	10.6,0.1,0.4,0.08	3.5,0.2,0.55,0.1							0.0003,0.45,2.5,0.44	5e-06,0.5,2.5,0.5		2e-07,0.6,2.5,0.62	6e-15,0.8,2.0,0.5				
PLANET_EARTH_ANTARCTICA_CONT_NEAR_SURFACE		0.005,0.7,1.5,0.6	0.002,0.8,1.5,0.6	0.008,0.7,1.8,0.6	2e-4,0.8,2.8,0.7	8e-4,0.8,2.0,0.7	3e-4,0.8,2.6,0.7	0.008,0.6,1.2,0.5	0.2,0.7,1.3,0.5	6.5,0.5,0.8,0.4	0.003,0.6,2.1,0.5	2e-4,0.8,2.4,0.6	78.9,0.2,0.22,0.15	10.8,0.25,0.4,0.2	3.5,0.4,0.55,0.3							5e-4,0.7,2.0,0.6	3e-5,0.8,2.0,0.6		1e-7,0.8,2.0,0.6	3e-15,0.9,2.0,0.6				
PLANET_EARTH_OTHER_CONT_NEAR_SURFACE		0.008,0.35,2.04,0.48	0.003,0.4,2.13,0.5	0.012,0.35,2.73,0.45	0.00025,0.45,3.92,0.56	0.0015,0.45,3.25,0.65	0.0005,0.5,3.6,0.55	0.01,0.4,1.98,0.49	0.35,0.4,1.89,0.44	7.0,0.2,1.25,0.28	0.006,0.4,3.19,0.53	0.0005,0.45,3.66,0.61	78.4,0.07,0.22,0.06	10.7,0.15,0.4,0.12	3.5,0.25,0.55,0.15							0.001,0.45,3.03,0.53	5e-05,0.5,3.03,0.61		2e-06,0.5,3.03,0.76	6e-14,0.7,2.0,0.5				
PLANET_EARTH_USA_CONT_SUBSURFACE		0.002,0.25,1.74,0.29	0.0004,0.35,2.03,0.34	0.004,0.3,2.0,0.25	1e-4,0.4,2.8,0.3	3e-4,0.4,2.5,0.3	2e-4,0.4,2.6,0.3	0.005,0.3,1.39,0.29	0.5,0.3,1.3,0.25	8,0.15,0.8,0.12	0.003,0.3,2.1,0.25	6e-4,0.35,2.2,0.3	86.3,0.05,0.2,0.05	2.16,0.25,0.7,0.2	3,0.2,0.6,0.1							5e-4,0.3,2.0,0.25	5e-5,0.4,2.0,0.3		5e-6,0.5,2.0,0.5	2e-13,0.7,2.2,0.5				
PLANET_EARTH_CHINA_CONT_SUBSURFACE		0.003,0.3,1.78,0.36	0.0005,0.35,2.19,0.43	0.006,0.3,2.21,0.33	8e-05,0.45,3.26,0.41	8e-4,0.3,2.5,0.3	0.0002,0.45,2.94,0.4	0.005,0.35,1.56,0.39	0.4,0.35,1.3,0.3	8,0.18,0.8,0.15	0.004,0.3,2.36,0.34	0.0003,0.4,2.82,0.45	86.4,0.06,0.2,0.06	2.16,0.3,0.7,0.25	3,0.22,0.6,0.12							0.0003,0.35,2.6,0.39	3e-05,0.45,2.6,0.45		1e-06,0.55,2.6,0.65	3e-14,0.7,2.2,0.5				
PLANET_EARTH_EU_CONT_SUBSURFACE		0.0015,0.2,1.67,0.22	0.0003,0.3,1.93,0.27	0.004,0.25,2.0,0.2	8e-5,0.35,2.8,0.3	3e-4,0.35,2.5,0.3	2e-4,0.35,2.6,0.3	0.004,0.3,1.33,0.22	0.3,0.3,1.3,0.2	9,0.12,0.8,0.1	0.002,0.25,2.1,0.2	3e-4,0.3,2.2,0.3	85.5,0.04,0.2,0.04	2.17,0.2,0.7,0.18	3,0.18,0.6,0.1							3e-4,0.3,2.0,0.25	3e-5,0.4,2.0,0.3		1e-6,0.5,2.0,0.5	3e-14,0.7,2.2,0.5				
PLANET_EARTH_RUSSIA_CONT_SUBSURFACE		0.004,0.3,1.66,0.33	0.0005,0.35,2.19,0.36	0.006,0.3,2.21,0.33	0.00015,0.4,2.99,0.37	0.0005,0.4,2.71,0.38	0.0003,0.4,2.77,0.37	0.005,0.35,1.56,0.33	0.6,0.35,1.3,0.3	7,0.18,0.8,0.15	0.003,0.3,2.48,0.35	0.001,0.35,2.2,0.3	87.2,0.06,0.2,0.06	2.21,0.3,0.7,0.22	3,0.25,0.6,0.12							0.0008,0.35,2.18,0.33	8e-05,0.4,2.18,0.38		5e-06,0.5,2.18,0.55	2e-13,0.7,2.2,0.5				
PLANET_EARTH_INDIA_CONT_SUBSURFACE		0.003,0.3,2.04,0.41	0.0006,0.35,2.41,0.4	0.003,0.35,2.87,0.43	5e-05,0.45,3.96,0.57	0.0004,0.4,3.21,0.45	0.0001,0.5,3.71,0.57	0.004,0.35,1.89,0.47	0.3,0.4,1.76,0.41	8,0.2,0.8,0.15	0.003,0.35,2.84,0.41	0.0002,0.45,3.42,0.62	86.5,0.07,0.2,0.07	2.14,0.3,0.7,0.25	3,0.25,0.6,0.12							0.0002,0.4,3.18,0.56	2e-05,0.5,3.18,0.64		5e-07,0.55,3.18,0.87	2e-14,0.7,2.2,0.55				
PLANET_EARTH_JAPAN_CONT_SUBSURFACE		0.0005,0.3,2.56,0.43	0.0001,0.4,2.89,0.56	0.001,0.35,2.99,0.45	4e-05,0.4,3.57,0.45	0.0002,0.4,3.11,0.44	0.0001,0.45,3.24,0.44	0.006,0.3,1.48,0.31	0.2,0.35,1.72,0.4	8,0.15,0.8,0.12	0.001,0.35,2.96,0.42	5e-05,0.45,3.59,0.65	86.7,0.05,0.2,0.05	2.11,0.25,0.7,0.2	3,0.2,0.6,0.1							0.0001,0.4,3.08,0.54	1e-05,0.5,3.08,0.62		2e-07,0.6,3.08,0.85	6e-15,0.8,2.2,0.55				
PLANET_EARTH_ANTARCTICA_CONT_SUBSURFACE		0.002,0.7,1.5,0.6	5e-4,0.8,1.8,0.6	0.003,0.7,2.0,0.6	8e-5,0.8,2.8,0.7	3e-4,0.8,2.5,0.7	2e-4,0.8,2.6,0.7	0.004,0.6,1.2,0.5	0.3,0.7,1.3,0.5	7,0.5,0.8,0.4	0.002,0.6,2.1,0.5	2e-4,0.8,2.2,0.6	86.5,0.2,0.2,0.15	2.14,0.5,0.7,0.4	4,0.4,0.6,0.3							2e-4,0.7,2.0,0.6	2e-5,0.8,2.0,0.6		1e-7,0.8,2.0,0.6	3e-15,0.9,2.2,0.6				
PLANET_EARTH_OTHER_CONT_SUBSURFACE		0.003,0.35,2.85,0.67	0.0006,0.4,3.37,0.66	0.005,0.35,3.67,0.55	0.00012,0.45,4.94,0.71	0.0005,0.45,4.34,0.69	0.0003,0.5,4.43,0.68	0.005,0.4,2.5,0.62	0.5,0.4,2.12,0.49	8.0,0.2,1.23,0.28	0.003,0.4,3.97,0.66	0.0005,0.4,4.15,0.66	86.3,0.07,0.2,0.06	2.18,0.3,0.7,0.25	3,0.25,0.6,0.15							0.0004,0.4,3.96,0.69	4e-05,0.5,3.96,0.79		3e-06,0.5,3.96,0.99	9e-14,0.7,2.2,0.5				
PLANET_EARTH_USA_CONT_DEEP_SUBSURFACE		0.001,0.3,2.28,0.46	0.0002,0.4,2.6,0.51	0.003,0.35,2.6,0.39	5e-05,0.5,3.69,0.53	0.00015,0.5,3.44,0.55	0.0001,0.5,3.42,0.53	0.003,0.3,1.73,0.36	1.0,0.3,1.2,0.25	6,0.2,0.7,0.15	0.0005,0.4,3.43,0.57	0.003,0.35,2.11,0.43	90.4,0.04,0.15,0.04	0.53,0.4,0.7,0.3	2,0.25,0.5,0.12	5e-5,0.5,1.5,0.5		5e-4,0.3,0.5,0.2	0.01,0.35,1.0,0.35			0.002,0.35,1.75,0.41	0.0002,0.4,1.75,0.41		3e-05,0.4,2.25,0.56	2e-12,0.6,2.0,0.5				
PLANET_EARTH_CHINA_CONT_DEEP_SUBSURFACE		0.0015,0.35,2.42,0.56	0.0003,0.4,2.8,0.62	0.004,0.35,2.86,0.5	4e-05,0.55,4.43,0.71	0.0003,0.4,3.61,0.58	0.0001,0.55,3.99,0.61	0.003,0.35,2.02,0.51	0.8,0.35,1.66,0.41	6,0.22,0.7,0.18	0.0008,0.4,3.72,0.62	0.001,0.4,3.1,0.73	90.6,0.05,0.15,0.05	0.53,0.45,0.7,0.35	2,0.28,0.5,0.15	5e-5,0.5,1.5,0.5		3e-4,0.35,0.5,0.25	0.008,0.4,1.0,0.4			0.001,0.4,2.45,0.65	0.0001,0.45,2.45,0.65		1e-05,0.45,2.95,0.74	5e-13,0.6,2.0,0.5				
PLANET_EARTH_EU_CONT_DEEP_SUBSURFACE		0.0008,0.25,2.09,0.35	0.00015,0.35,2.4,0.4	0.003,0.3,2.27,0.28	4e-05,0.4,3.32,0.41	0.0001,0.4,3.19,0.45	0.0001,0.4,2.99,0.4	0.003,0.3,1.51,0.31	0.8,0.3,1.2,0.25	7,0.15,0.7,0.12	0.0003,0.35,3.22,0.46	0.002,0.3,2.02,0.36	89.6,0.04,0.15,0.04	0.53,0.35,0.7,0.25	2,0.2,0.5,0.1	5e-5,0.5,1.5,0.5		5e-4,0.3,0.5,0.2	0.008,0.3,1.0,0.3			0.0015,0.3,1.65,0.33	0.00015,0.4,1.65,0.38		2e-05,0.4,2.15,0.54	1e-12,0.6,2.0,0.5				
PLANET_EARTH_RUSSIA_CONT_DEEP_SUBSURFACE		0.002,0.35,2.25,0.52	0.0003,0.4,2.8,0.54	0.004,0.35,2.86,0.43	8e-05,0.5,4.03,0.58	0.00025,0.45,3.72,0.6	0.00015,0.45,3.75,0.58	0.003,0.35,2.02,0.51	1.2,0.35,1.42,0.35	6,0.2,0.7,0.18	0.0005,0.4,4.0,0.67	0.003,0.35,2.46,0.51	90.2,0.05,0.15,0.05	0.53,0.45,0.7,0.35	2,0.3,0.5,0.15	8e-5,0.5,1.5,0.5		5e-4,0.35,0.5,0.25	0.012,0.35,1.0,0.35			0.003,0.35,1.8,0.42	0.0003,0.4,1.8,0.42		5e-05,0.4,2.3,0.57	3e-12,0.6,2.0,0.5				
PLANET_EARTH_INDIA_CONT_DEEP_SUBSURFACE		0.0015,0.35,2.9,0.68	0.0003,0.4,3.36,0.65	0.002,0.4,3.92,0.69	3e-05,0.55,5.0,0.8	0.0002,0.5,4.62,0.74	5e-05,0.55,5.0,0.87	0.003,0.4,2.42,0.6	0.6,0.4,2.19,0.64	6.0,0.25,1.02,0.29	0.0005,0.45,4.8,0.91	0.0008,0.45,3.87,0.91	90.9,0.06,0.15,0.06	0.52,0.45,0.7,0.35	2,0.3,0.5,0.15	3e-5,0.5,1.5,0.5		3e-4,0.4,0.5,0.25	0.006,0.4,1.0,0.4			0.0008,0.45,3.1,0.83	8e-05,0.5,3.1,0.83		5e-06,0.45,3.6,0.9	3e-13,0.6,2.0,0.5				
