name\Field	op_class	storage	reconfig_time	reconfig_cost	biological_crew	carrying_capacity	carrying_capacity_group	stratum_group	foldable	operations
CONT_SUBSURFACE_MINES	EXTRACTION	500 MWh;5000;10;2;1;0;1	730	3.0				CONT_SUBSURFACE	x	CONT_SUBSURFACE_COAL_MINING;CONT_SUBSURFACE_IRON_MINING;CONT_SUBSURFACE_ALUMINIUM_MINING;CONT_SUBSURFACE_INDUST_METALS_MINING;CONT_SUBSURFACE_PRECIOUS_METALS_MINING;CONT_SUBSURFACE_URANIUM_MINING;CONT_SUBSURFACE_RARE_EARTHS_MINING;CONT_SUBSURFACE_SULFUR_MINING;CONT_SUBSURFACE_ORGANICS_MINING;CONT_SUBSURFACE_INDUST_MINERALS_MINING
CONT_DEEP_SUBSURFACE_MINES	EXTRACTION	500 MWh;2000;10;2;1;0;1	1095	5.0				CONT_DEEP_SUBSURFACE	x	CONT_DEEP_SUBSURFACE_COAL_MINING;CONT_DEEP_SUBSURFACE_IRON_MINING;CONT_DEEP_SUBSURFACE_ALUMINIUM_MINING;CONT_DEEP_SUBSURFACE_INDUST_METALS_MINING;CONT_DEEP_SUBSURFACE_PRECIOUS_METALS_MINING;CONT_DEEP_SUBSURFACE_URANIUM_MINING;CONT_DEEP_SUBSURFACE_RARE_EARTHS_MINING;CONT_DEEP_SUBSURFACE_SULFUR_MINING;CONT_DEEP_SUBSURFACE_ORGANICS_MINING;CONT_DEEP_SUBSURFACE_INDUST_MINERALS_MINING
CONT_SURFACE_WELLS	EXTRACTION	500 MWh;500;10;4000;5000;0;1	90	0.2				CONT_SURFACE	x	CONT_SURFACE_GAS_DRILLING;CONT_SURFACE_OIL_DRILLING
CONT_NEAR_SURFACE_WELLS	EXTRACTION	500 MWh;250;10;2500;3000;0;1	120	0.3				CONT_NEAR_SURFACE	x	CONT_NEAR_SURFACE_GAS_DRILLING;CONT_NEAR_SURFACE_OIL_DRILLING
CONT_SUBSURFACE_WELLS	EXTRACTION	500 MWh;150;10;1200;1500;0;1	180	0.5				CONT_SUBSURFACE	x	CONT_SUBSURFACE_GAS_DRILLING;CONT_SUBSURFACE_OIL_DRILLING
CONT_DEEP_SUBSURFACE_WELLS	EXTRACTION	500 MWh;100;10;500;600;0;1	270	1.0				CONT_DEEP_SUBSURFACE	x	CONT_DEEP_SUBSURFACE_GAS_DRILLING;CONT_DEEP_SUBSURFACE_OIL_DRILLING
CONT_EXTREME_SUBSURFACE_WELLS	EXTRACTION	500 MWh;50;10;2;250;0;1						CONT_EXTREME_SUBSURFACE	x	CONT_EXTREME_SUBSURFACE_GAS_DRILLING
CONT_SURFACE_QUARRIES	EXTRACTION	500 MWh;150000;10;2;1;0;1	60	0.1				CONT_SURFACE	x	CONT_SURFACE_STONE_QUARRYING;CONT_SURFACE_REGOLITH_QUARRYING
ATMOSPHERE_PROCESSORS	EXTRACTION	500 MWh;10;1500;2;3500;0;1						ATMOSPHERE		ATMOSPHERE_SEPARATION
REGOLITH_VOLATILES_EXTRACTION_PLANTS	EXTRACTION	500 MWh;100;1000;2;1;0;1						REGOLITH		REGOLITH_VOLATILES_EXTRACTION
HYDROCARBON_BODIES_PROCESSORS	EXTRACTION	500 MWh;10;10;2;7500;0;1						HYDROCARBON_BODIES		HYDROCARBON_BODIES_SEPARATION
OCEAN_DESALINATION_PLANTS	EXTRACTION	500 MWh;2500;150000;2;1;0;1						OCEAN		OCEAN_DESALINATION
CONT_SURFACE_BRINE_PROCESSING_PLANTS	EXTRACTION	500 MWh;1000;10;2;1;0;1						CONT_SURFACE		CONT_SURFACE_BRINE_EXTRACTION
OIL_REFINERIES	REFINING	50 MWh;25;25;700;25;0;1								OIL_REFINING
IRON_NICKEL_REFINERIES	REFINING	150 MWh;700;10;2;1;0;1								IRON_NICKEL_REFINING
STEEL_MILLS	REFINING	200 MWh;1000;125;2;175;0;1	730	2.0					x	IRON_ORE_SMELTING;BASIC_O2_STEELMAKING;H2_REDUCTION_STEELMAKING;ELECTRIC_STEELMAKING
SOLAR_FURNACES	REFINING	50 MWh;600;150;2;1;0;1								SOLAR_STEELMAKING
ALUMINIUM_SMELTERS	REFINING	1000 MWh;700;125;2;1;0;1								ALUMINIUM_REFINING
INDUST_METALS_SMELTERS	REFINING	250 MWh;700;100;2;25;0;1								INDUST_METALS_REFINING
PRECIOUS_METALS_REFINERIES	REFINING	200 MWh;700;50;2;1;0;1								PRECIOUS_METALS_REFINING
RARE_EARTHS_REFINERIES	REFINING	600 MWh;600;100;15;1;0;150								RARE_EARTHS_REFINING
URANIUM_PROCESSING_PLANTS	REFINING	25 MWh;700;50;15;1;0;35								URANIUM_REFINING
REGOLITH_PROCESSING_PLANTS	REFINING	2000 MWh;600;10;2;200;0;1								REGOLITH_PROCESSING
ISOTOPE_SEPARATION_PLANTS	REFINING	35000 MWh;10;400;2;400;0;1								DEUTERIUM_PURIFICATION
RECYC_CENTERS	REFINING	150 MWh;250;75;2;50;0;1								MUNICIPAL_RECYC_INCINERATION
INDUST_RECYC_FACILITIES	REFINING	150 MWh;700;10;2;1;0;1								INDUST_RECYC_INCINERATION
NUCLEAR_FUEL_REPROCESSING_PLANTS	REFINING	50 MWh;200;25;50;1;400;150	365	1.5					x	URANIUM_FUEL_REPROCESSING;THORIUM_FUEL_REPROCESSING
ELECTROLYSIS_PLANTS	CONVERSION	2000 MWh;10;1500;2;400;0;1	60	0.3					x	WATER_ELECTROLYSIS;CO2_ELECTROLYSIS
CATALYTIC_REACTOR_PLANTS	CONVERSION	600 MWh;10;20000;10000;3000;0;1	180	0.5					x	CO2_METHANATION;STEAM_METHANE_REFORMING;WATER_GAS_SHIFT;REVERSE_WATER_GAS_SHIFT;CO2_METHANOL_SYNTH;CO_METHANOL_SYNTH;LIQ_HYDROCARBONS_SYNTH;AMMONIA_SYNTH
GASIFICATION_PLANTS	CONVERSION	50 MWh;400;400;2;150;0;1	120	0.3					x	COAL_GASIFICATION;BIOMASS_GASIFICATION
PYROLYSIS_PLANTS	CONVERSION	600 MWh;2000;200;5;250;0;1	365	1.0					x	METHANE_PYROLYSIS;COAL_CARBONIZATION;BIOMASS_CARBONIZATION
POLYMER_PLANTS	CONVERSION	750 MWh;250;50;350;100;0;1								POLYMER_SYNTH
CHEMICAL_PLANTS	CONVERSION	200 MWh;300;50;250;125;0;1								INDUST_CHEMICALS_SYNTH
FINE_CHEMICALS_PLANTS	CONVERSION	600 MWh;150;75;250;75;0;200								FINE_CHEMICALS_SYNTH
CONCRETE_PLANTS	CONVERSION	100 MWh;700;75;2;1;0;1								CONCRETE_PRODUCTION
GLASS_CERAMICS_PLANTS	CONVERSION	700 MWh;700;10;2;1;0;1								GLASS_CERAMICS_PRODUCTION
SEMICONDUCTOR_MAT_FABS	CONVERSION	7500 MWh;350;200;50;100;0;100								SEMICONDUCTOR_PRODUCTION
PROPELLANT_PLANTS	CONVERSION	100 MWh;150;10;250;1;0;400								SOLID_FUEL_PRODUCTION
FERTILIZER_PLANTS	CONVERSION	300 MWh;600;25;150;1;0;1								FERTILIZER_PRODUCTION
CONSTRUCTION_YARDS	MANUFACTURING	150 MWh;4000;10;2;1;0;1								CONSTRUCTION
SPACE_YARDS	MANUFACTURING	300 MWh;1000;10;2;1;0;50								SPACE_YARDS_ASSEMBLY
TRANSPORT_FACTORIES	MANUFACTURING	300 MWh;700;10;2;1;0;25								TRANSPORT_MANUF
METAL_FAB_WORKS	MANUFACTURING	150 MWh;700;10;2;1;0;1	90	0.2					x	STEEL_STRUCTURES_MANUF;ALUMINIUM_STRUCTURES_MANUF
COMPOSITES_FACILITIES	MANUFACTURING	400 MWh;700;10;25;1;0;1	180	0.5					x	COMPOSITE_PRODUCTION;COMPOSITE_STRUCTURES_MANUF
TEXTILES_MILLS	MANUFACTURING	250 MWh;700;10;2;1;0;25								TECHNICAL_TEXTILES_FAB
HEAVY_MANUF_PLANTS	MANUFACTURING	200 MWh;700;10;2;1;0;25	180	0.5					x	HEAVY_MACHINERY_MANUF;ELECTRICAL_EQUIP_MANUF
PRECISION_MANUF_PLANTS	MANUFACTURING	600 MWh;350;10;2;1;0;400								PRECISION_EQUIP_MANUF
ELECTRONICS_FACTORIES	MANUFACTURING	1000 MWh;300;10;2;1;0;500								ELECTRONICS_MANUF
ADVANCED_PROCESSOR_FABS	MANUFACTURING	10000 MWh;200;150;2;1;0;500	365	2.0					x	TENSOR_PROCESSOR_FAB;NEUROMORPHIC_PROCESSOR_FAB
ROBOTICS_FACTORIES	MANUFACTURING	750 MWh;300;10;2;1;0;400								ROBOTICS_MANUF
SOLAR_PANEL_FACTORIES	MANUFACTURING	700 MWh;300;10;2;1;0;450								SOLAR_PANEL_MANUF
BATTERY_FACTORIES	MANUFACTURING	500 MWh;300;10;50;1;0;400								BATTERY_MANUF
NUCLEAR_FUEL_FAB_PLANTS	MANUFACTURING	8000 MWh;1000;10;100;1;5;5500	730	3.0					x	LEU_FUEL_MANUF;HEU_FUEL_MANUF;THORIUM_FUEL_MANUF
CONSUMER_GOODS_FACTORIES	MANUFACTURING	150 MWh;700;10;50;1;0;200	90	0.2					x	CONSUMER_GOODS_MANUF;SPECIALTY_GOODS_MANUF
CREW_SYSTEMS	BIOMES	15 MWh;2;2;0.5;0.5;0;0.5			10					CREW_LIFE_SUPPORT
CITIES_TOWNS	BIOMES	3000 MWh;1500;500;50;75;0;500				20000	HUMAN			URBAN_OPERATIONS
INDUST_FARMS	BIOMES	50 MWh;250;250;2;25;0;50				10	HUMAN			OPEN_AGRICULTURE
CONTROLLED_ENV_FARMS	BIOMES	600 MWh;250;250;2;25;0;50				10	HUMAN			CONTROLLED_ENV_AGRICULTURE
ARTISANAL_FARMS	BIOMES	50 MWh;75;250;2;25;0;200				500	HUMAN			ARTISANAL_FARMING
ARTISANAL_WORKSHOPS	BIOMES	50 MWh;400;10;2;1;0;350				200	HUMAN			ARTISANAL_CRAFTING
COMMERCIAL_FISHING_FLEETS	BIOMES	500 MWh;10;10;2;1;0;1500				100	HUMAN			COMMERCIAL_FISHING
AQUACULTURE_FARMS	BIOMES	50 MWh;200;250;2;25;0;75				50	HUMAN			OPEN_AQUACULTURE
CONTROLLED_ENV_AQUACULTURE_FACILITIES	BIOMES	600 MWh;150;200;2;25;0;125				10	HUMAN			CONTROLLED_ENV_AQUACULTURE
FORESTRY_OPS	BIOMES	500 MWh;10000;10;2;1;0;1				100	HUMAN			OPEN_FORESTRY
ALGAL_CULTIVATION_FACILITIES	BIOMES	200 MWh;250;125;2;50;0;1								ALGACULTURE
BIOREACTOR_FACILITIES	BIOMES	400 MWh;1200;200;500;25;0;200	180	0.5					x	CELLULAR_AGRICULTURE;ETHANOL_FERMENTATION;INDUST_FERMENTATION
FOOD_PROCESSING_PLANTS	BIOMES	150 MWh;500;50;2;1;0;125								FOOD_PROCESSING_PACKAGING
BIOGAS_DIGESTERS	BIOMES	50 MWh;500;100;2;75;0;1								BIOGAS_PRODUCTION
BIOMASS_CONVERSION_PLANTS	BIOMES	300 MWh;400;50;150;35;0;1								BIOMASS_LIQUEFACTION
PHARMACEUTICAL_PLANTS	BIOMES	3500 MWh;200;100;2;1;0;500								PHARMACEUTICALS_SYNTH
SOIL_CONDITIONING_FACILITIES	BIOMES	50 MWh;700;50;2;1;0;1								SOIL_CONDITIONING
WASTEWATER_TREATMENT_PLANTS	BIOMES	250 MWh;400;25;2;15;0;1								BIOWASTE_TREATMENT
